Level,GO ID,GO Name,GO Type,Parents (ACC),Parents (Name),Nodescore,#Seqs,Sequence Names
5,GO:0043412,macromolecule modification,Biological Process,GO:0043170,macromolecule metabolic process,2.05,10,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_2281_length_7365_cov_494.348282_g980_i0"
5,GO:0036211,protein modification process,Biological Process,"GO:0043412, GO:0019538","macromolecule modification, protein metabolic process",2.22,8,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_2281_length_7365_cov_494.348282_g980_i0"
5,GO:0010468,regulation of gene expression,Biological Process,"GO:0060255, GO:0010467","regulation of macromolecule metabolic process, gene expression",10.93,9,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_12937_length_3420_cov_462.366853_g3479_i1, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_6394_length_5057_cov_1074.700278_g962_i7"
5,GO:0016192,vesicle-mediated transport,Biological Process,GO:0006810,transport,9.62,10,"NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1, NODE_12525_length_3492_cov_254.626047_g0_i756"
5,GO:0048878,chemical homeostasis,Biological Process,GO:0042592,homeostatic process,0.89,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
5,GO:1901362,organic cyclic compound biosynthetic process,Biological Process,"GO:1901576, GO:1901360","organic substance biosynthetic process, organic cyclic compound metabolic process",3.19,8,"NODE_7487_length_4692_cov_193.626635_g1119_i2, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_2668_length_7029_cov_161.669714_g1119_i0, NODE_10871_length_3816_cov_670.143385_g19_i9, NODE_7606_length_4649_cov_557.220346_g2813_i0"
5,GO:0010467,gene expression,Biological Process,GO:0043170,macromolecule metabolic process,9.04,15,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_12937_length_3420_cov_462.366853_g3479_i1, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_6394_length_5057_cov_1074.700278_g962_i7, NODE_1085_length_8985_cov_1291.794774_g62_i1"
6,GO:0006464,cellular protein modification process,Biological Process,"GO:0036211, GO:0044267","protein modification process, cellular protein metabolic process",3.71,8,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_2281_length_7365_cov_494.348282_g980_i0"
6,GO:0050801,ion homeostasis,Biological Process,GO:0048878,chemical homeostasis,1.48,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
6,GO:0006812,cation transport,Biological Process,GO:0006811,ion transport,8.42,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
6,GO:0016070,RNA metabolic process,Biological Process,GO:0090304,nucleic acid metabolic process,1.43,9,"NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_12937_length_3420_cov_462.366853_g3479_i1, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_1085_length_8985_cov_1291.794774_g62_i1"
6,GO:0030003,cellular cation homeostasis,Biological Process,"GO:0055080, GO:0006873","cation homeostasis, cellular ion homeostasis",4.1,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
6,GO:0048193,Golgi vesicle transport,Biological Process,GO:0016192,vesicle-mediated transport,14.26,8,"NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1"
7,GO:0055080,cation homeostasis,Biological Process,GO:0050801,ion homeostasis,2.46,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
7,GO:0098771,inorganic ion homeostasis,Biological Process,GO:0050801,ion homeostasis,2.46,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
7,GO:0006875,cellular metal ion homeostasis,Biological Process,"GO:0030003, GO:0055065","cellular cation homeostasis, metal ion homeostasis",6.84,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
7,GO:0072503,cellular divalent inorganic cation homeostasis,Biological Process,"GO:0030003, GO:0072507","cellular cation homeostasis, divalent inorganic cation homeostasis",6.84,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
8,GO:0006874,cellular calcium ion homeostasis,Biological Process,"GO:0055074, GO:0072503, GO:0006875","calcium ion homeostasis, cellular divalent inorganic cation homeostasis, cellular metal ion homeostasis",11.4,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
8,GO:0072507,divalent inorganic cation homeostasis,Biological Process,"GO:0098771, GO:0055080","inorganic ion homeostasis, cation homeostasis",4.1,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
8,GO:0055065,metal ion homeostasis,Biological Process,"GO:0098771, GO:0055080","inorganic ion homeostasis, cation homeostasis",4.1,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
9,GO:0055074,calcium ion homeostasis,Biological Process,"GO:0072507, GO:0055065","divalent inorganic cation homeostasis, metal ion homeostasis",6.84,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
