gene_id,sample4,sample5,sample13,sample14,sample17,sample18
g29203,1.135,0,1.409,0,3.324,1
g29204,0,2.791,1,5,10,3
g29205,2,1,2,7,8,0
g29206,1.625,0,3,1.027,3,0
g29207,3,1,0,4.956,6.987,2
g29208,3,2,2,3,2,0
g29209,1,3,0,3,3,2
g2921,753.216,515.027,538.777,932.569,2370.169,468.828
g29210,0,3,0,2,6.996,0
g29211,4,0,0,2,9,2
g29212,1,2,1,5,2,0
g29213,0,2,2.999,4.991,3,2.866
g29214,1.992,2,1,4,5,3
g29215,1.108,0,0,2,6,2
g29216,1,0,0,2,3,0
g29217,2,1,3,2,1,0
g29218,3,3,1,4,7,2
g29219,0,2,0,2,3,0
g2922,326.846,244.792,232.592,421.843,1151.116,211.999
g29220,0,1,1.007,3,10,1
g29221,0,0,0,0,0,0
g29222,1,0,1,3,1,2
g29223,5,1,2,0,1,1
g29224,2,1,2,2,2,1
g29225,2.001,2.003,2.003,1.004,1.005,1
g29226,429.6,256.939,278.467,403.259,1058.338,266.184
g29227,74.101,49.248,30.07,72.437,141.02,24.802
g29228,0,0,1.977,3.356,1.921,0
g29229,11.135,11.631,5.534,18.349,44.509,8.665
g2923,872.776,593.629,474.991,825.208,2386.976,537.079
g29230,0,0,0,1.336,2.763,4.124
g29231,14.245,16.942,22.571,22.333,53.167,13.234
g29232,13.615,8.997,15.018,15.072,48.239,9.663
g29233,6,7,11,40,33,12
g29234,34,38,0,0,0,0
g29235,4.118,7.666,3.925,3.552,6.793,1.556
g29236,3,3.004,2,4.001,8.011,2
g29237,5.278,1,1,4,6.23,2
g29238,4,1,0,5.084,7.044,2
g29239,2,1,0,2,7,0
g2924,526.048,397.171,414.69,873.049,1595.479,377.357
g29240,1,0,2,1.022,3.999,3.659
g29241,3,1,1,3,6,1
g29242,3.001,2,0,1,5.321,0
g29243,2,0,0,3,4.974,1
g29244,1,3.178,5,2,3,0
g29245,3,1,1,6,4,1
g29246,2.998,1.876,1.985,2,7,2
g29247,5,1,2,3,8,0
g29248,2,0,0,1,7,2
g2925,272,169,214,417,1038,205
g29250,3,0,0,4,7,2
g29251,3,0,1,3,8,0
g29252,0,0,0,1,2.991,0
g29253,0,0,0,6.376,3,0
g29254,0,0,0,0,26,5
g29255,5,0,0,3,4,0
g29256,0,0,1,2,5,3
g29257,1,1,0,3,3,1
g29258,4,0,0,0,0,2
g29259,5,0,2,2,1,0
g2926,29,195,50,222,141,144
g29260,3,0,1,1,4,0
g29261,3,6,0,0,0,0
g29262,1,0,1,4,1,2
g29263,2.139,0,0,3,2.008,1
g29264,1,0,0,2,4,0
g29265,1,1,2,1,2,3
g29266,7,2,0,1,3,1
g29267,1,0,1,3.004,3,0
g29268,4.826,2.775,1.345,3.053,8.331,0
g29269,191.165,174.606,185.377,303.276,501.109,132.745
g2927,1090.806,774.896,702.012,1128.441,3429.4,801.998
g29270,630.119,434.366,376.188,756.306,1636.525,387.388
g29271,4.613,7.01,0,0,41.064,4.874
g29272,222.972,156.261,149.966,302.659,667.332,158.798
g29273,54.577,33.471,28.583,80.087,183.684,42.047
g29274,2.097,0,2.321,0,8.595,0
g29275,0,0,46.496,27.858,1,5.446
g29276,4.521,0,0,4.152,4.49,0
g29277,7.774,13.081,4.716,8.025,7.742,3.29
g29278,9.828,6.785,4.175,16.348,33.298,4.011
g29279,1.055,1,0,2,0,1.445
g2928,2961.481,1858.362,2301.396,3287.189,6815.816,1969.243
g29280,9.176,2.005,8,11,13.368,4.004
g29281,9.004,3.002,6,15.231,13.136,4.175
g29282,6,1.001,6,9.654,11.908,0
g29283,2.556,5,2.768,2,3.577,7
g29284,0,0,0,0,0,0
g29285,8,3,2.795,7,8,1
g29286,1,3.594,1.001,4,12.021,3.046
g29287,4,2,1,3,1,1
g29288,4.006,1,2,4,1,1.877
g29289,2.733,2.927,0,0,0,0
g2929,1527.121,1076.236,1322.286,2535.251,5136.267,874.04
g29290,4,2,0,0,5,1
g29291,2.162,1,1,8,7,0
g29292,3,0,1,0,1.463,0
g29293,5,3,0,0,0,0
g29294,2,2,1,2,9,1
g29295,1,3,0,7,1.847,1
g29296,2,1,0,0,6,0
g29297,1,1,3,1,4,0
g29298,2,2,0,0,0,0
g29299,1,1,1,2.877,6,2
g293,1444.029,1109.968,935.691,1783.357,3794.263,1077.158
g2930,722,581,558,869.225,2287.075,492
g29300,0,0,0,0,3.825,0
g29301,1,1,0,0,0,0
g29302,4,1,0,0,0,0
g29303,0,1,0,0,4,1
g29304,0,3.11,2,2,4,2
g29305,0,0,0,3,0,0
g29306,1,1,0,2,4,2
g29307,0,1,1,3,3.138,3
g29308,0,1,2,2,1.133,0
g29309,1,3,2,2,1,0
g2931,483.964,416.069,340.866,484.993,1889.998,373.927
g29310,0,2,0,4,4,2
g29311,2,3,0,3,1,0
g29312,2,2,1,1,3,2
g29313,34.296,9.252,20.86,40.617,78.647,10.497
g29314,65.382,35.587,33.402,86.781,0,0
g29315,2.06,2.093,4.113,2.042,2.276,3.155
g29317,62.898,38.489,32.687,43.044,103.058,30.013
g29318,8.029,8.065,2.008,10.188,21.327,3
g29319,27.941,9.749,9.221,8.637,45.742,11.952
