gene_id,sample6,sample7,sample15,sample16,sample19,sample20
g4520,1765.997,2459.037,3345.675,2250.429,2115.089,2890
g45200,0,0,1,1,2,3.012
g45201,2.916,1,1,0,3,0
g45202,0,1,0,3.524,1,0
g45203,0,0,1.729,2.583,0,1
g45204,0,0,1,0,0,2
g45205,1,3,0,0,1,0
g45206,1,1.504,1.015,2,2,3
g45207,0,2,2,0.896,0,0
g45208,0,2,5,0,1,2
g45209,0,0,0,1,0,2
g4521,1730.98,2156,1948.001,1370.001,1382,2075.843
g45210,2,0,1,0,0,0
g45211,1,3,1,0,1,0
g45212,1,0,1,0,1,0
g45214,0,1,2,0,1,1.812
g45215,2,0,2,0,0,0
g45216,0,0,3,4,0,0
g45217,1,0,0,1,0.99,1
g45218,0,2,1,2,0,1
g45219,1,0,0,0,0,1
g4522,1892.606,2047.768,2336.989,1489.965,1593.366,2163.804
g45220,1,1,0,1,0,2
g45221,0,0,1,1,3,0
g45222,1,1,1,2,2,4
g45223,1,0,2,1,0,0
g45224,1,0,0,1,0,1
g45225,2,1,0,0,1,1
g45226,0,1,2,1,0,1
g45227,0,0,1.002,2,2,1
g45228,0,1,2,2,0,1
g45229,1,0,0,0,0,1
g4523,679.903,995.591,595.479,320.88,427.397,599.584
g45230,5.03,0,2,0,0,0
g45231,3,1,0,0,0,0
g45232,0,0,0,1,0,0
g45233,1,0,0,1,1,2
g45234,4,1,0,1,0,0
g45235,0,0,0,0,0,0
g45236,1,1,0,0,0,0
g45237,0,0,1,0,1,0
g45238,0,0,2,2,0,0
g45239,2,0,0,0,2,0
g4524,300.887,302.395,192.864,171.574,108.697,162.373
g45240,0,0,0,2,0,0
g45241,0,1,1,0,1,3
g45242,0,1,0,0,0,0
g45243,1,0,1,0,0,0
g45244,0,0,0,0,1,1
g45245,1,1,2,0,1,0
g45246,0,1,1.001,0,0,0
g45247,0,1,1,1.001,2,0
g45248,0,0,2.008,0,0,2.002
g45249,0,1,0,3,1,0
g4525,771.487,1025.196,843.099,584.672,514.117,761.781
g45250,0,0,2,1,1,0
g45251,0,0,1,0,0,2
g45252,1,0,4,1,0,0
g45253,3,0,1,2,0,0
g45254,1,0,1.707,3,0,0
g45255,0,1,3,0,2,0
g45256,0,2,1,0,1,0
g45257,2,0,1,1,1,0
g45258,0,1,3.037,3,0,0
g45259,0,2,0,1,0,0
g4526,306.207,441.871,281.353,243.938,218,290.556
g45260,2,0,3,0,0,0
g45261,1,2,0,0,1,0
g45262,2,1,1,1,0,0
g45263,0,0,0,0,0,0
g45264,2,0,0,0,0,0
g45265,0,2,1,0,0,1
g45266,3,1,0,1,0,0
g45267,3,0,2,1,1,1
g45268,0,1,2.097,0,0,0
g45269,0,0,0,0,0,0
g4527,490.252,559.625,487.715,386.391,324.975,528.128
g45270,0,0,0,2,3,0
g45271,0,2,0,0,1,0
g45272,1,2,2,0,0,0
g45273,0,2,0,2,1,1
g45274,0,0,2,2,0,0
g45275,0,4,0,0,0,1
g45276,1,0,2,1,0,0
g45277,0,0,3,1,0,0
g45278,0,0,2,1,0,3
g45279,1,0,1,1,0,0
g4528,37.867,44.099,53.179,35.819,36.802,43.006
g45280,1,0,0,1,0,1
g45281,2,0,0,1,0,0
g45282,1,0,0,0,1,2
g45283,0,1,0,0,1,0
g45284,0,0,0,0,0,1
g45285,0,0,0,0,0,0
g45286,0,2,2,0,0,0
