plant,ant,trial,season,date,time,min1,min2,min3,min4,min5,activity.avg,temp.c,dom.no,dom.size.mm,gh.length.mm,gh.mass.g,gh.species,gh.age,herbivory
201,Allomerus,3,Summer,19-06-27,16:07:00,1,4,3,8,11,5.4,23.3,4,14.8,8.2,0.00626,Orphulella concinnula,,14
81,Allomerus,1,Winter,19-01-13,10:10:00,3,4,6,7,6,5.2,24.5,57,,9.6,0.008876,Orphulella punctata,juvenile,
106,Allomerus,1,Winter,19-01-09,15:00:00,2,4,3,6,11,5.2,25,31,,10.7,0.007528,Orphulella concinnula,juvenile,
230,Allomerus,1,Winter,19-01-13,11:30:00,6,6,3,7,4,5.2,26.5,5,,9.2,,Tetrigidae family,juvenile,
26,Allomerus,3,Summer,19-07-03,10:13:00,4,6,7,4,5,5.2,26.3,34,15.4,18.8,0.064311,,,84.75
88,Allomerus,3,Summer,19-07-01,14:46:00,1,3,3,5,12,4.8,29.3,24,15.7,9.5,0.012657,,,185.75
207,Allomerus,2,Winter,19-01-15,11:00:00,4,4,3,5,7,4.6,,5,,15.6,0.01774,Orphulella sp. ,adult,
109,Allomerus,1,Winter,19-01-10,9:40:00,3,3,5,6,5,4.4,,15,,10.4,0.013494,Orphulella fluvialis,juvenile,
68,Allomerus,3,Summer,19-07-02,10:46:00,1,4,3,5,9,4.4,27.7,8,14.7,7.7,0.004544,Orphulella punctata,,106
134,Allomerus,3,Summer,19-06-30,11:09:00,0,3,4,6,6,3.8,27,31,14.9,10.5,0.012374,,,
107,Allomerus,3,Summer,19-06-29,14:47:00,2,2,3,4,5,3.2,26.7,21,13,13.8,0.017349,Orphulella punctata,,
127,Allomerus,3,Summer,19-06-30,14:32:00,1,3,4,3,4,3,27.6,34,15.2,12.1,0.014637,,,92.5
23,Allomerus,1,Winter,19-01-12,15:10:00,2,2,2,4,4,2.8,25.5,12,,10.8,0.01513,Orphulella fluvialis,juvenile,
197,Allomerus,2,Winter,19-01-15,9:40:00,0,2,4,2,6,2.8,,55,,,,,,
197,Allomerus,1,Winter,19-01-12,9:30:00,2,0,2,3,5,2.4,,55,,12.6,0.01863,Orphulella concinnula,adult,
103,Allomerus,2,Winter,19-01-15,12:00:00,1,3,2,2,4,2.4,23.5,7,,10.2,0.007542,Orphulella fluvialis,juvenile,
14,Allomerus,3,Summer,19-07-02,13:31:00,1,2,3,3,3,2.4,27.9,22,13.7,,0.009658,Orphulella punctata,,107.25
18,Allomerus,1,Winter,19-01-12,14:40:00,0,1,3,2,4,2,25.5,38,,11.7,0.013238,Orphulella fluvialis,juvenile,
105,Allomerus,1,Winter,19-01-09,14:50:00,0,2,4,3,1,2,25,3,,9.7,0.008667,Orphulella fluvialis,juvenile,
194,Allomerus,3,Summer,19-06-27,15:28:00,1,2,3,2,2,2,24.8,27,15,9,0.007497,Orphulella punctata,,
48,Allomerus,1,Winter,19-01-13,17:00:00,2,3,2,2,0,1.8,24.5,26,,13.8,0.025012,Orphulella punctata,adult,
90,Allomerus,3,Summer,19-06-29,10:49:00,2,3,1,2,1,1.8,26.8,126,13.6,17.5,0.05283,Orphulella punctata,,
24,Allomerus,1,Winter,19-01-12,15:30:00,0,2,2,2,2,1.6,25.5,27,,14.5,0.025133,Orphulella fluvialis,juvenile,
112,Allomerus,3,Summer,19-06-29,8:44:00,0,0,3,2,1,1.2,23.8,28,13.1,9.2,0.006613,,,
35,Allomerus,1,Winter,19-01-13,16:40:00,1,0,1,2,1,1,25.5,46,,11.9,0.015786,Orphulella concinnula,juvenile,
