sample	plant.id	code	treatment	attack.avg	activity.level
sample1	18	be	guard	2	low
sample2	28	be	guard	0.4	low
sample3	103	be	guard	0	low
sample4	107	be	guard	12.2	high
sample6	109	be	guard	4.4	low
sample8	125	be	guard	27.2	high
sample9	127	be	guard	29.2	high
sample10	136	be	guard	21.4	high
sample11	145	be	guard	17.2	high
sample12	187	be	guard	0.6	low
sample13	193	be	guard	25	high
sample15	199	be	guard	0.2	low
sample17	201	be	guard	24.2	high
sample19	207	be	guard	0.4	low
