"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"g1379",191.638972877066,-0.78851286188735,0.159569648627565,-4.9414965105785,7.75252042417744e-07,7.99478668743299e-05,TRUE
"g22644",9994.89128521516,0.646222183980952,0.130821689579841,4.93971745859893,7.82358502428697e-07,8.02033198495691e-05,TRUE
"g30386",622.78870316679,3.12839966679862,0.635897923149492,4.91965699668304,8.66960054279712e-07,8.8353429061153e-05,TRUE
"g6792",198.973333883096,0.805368463740306,0.163827391236339,4.91595732351299,8.83496442168327e-07,8.95121395354753e-05,TRUE
"g7085",63.6856429068223,-0.952167859812811,0.194055366186906,-4.90668142047523,9.26303075472314e-07,9.33034929218479e-05,TRUE
"g7620",680.315994692136,-2.59133017859543,0.528385569579536,-4.90424100843157,9.37892777651843e-07,9.39248114035733e-05,TRUE
"g14145",231.09660586039,-6.18873999916155,1.26248958928646,-4.90201269909826,9.48597025432947e-07,9.44508245150909e-05,TRUE
"g9745",47.7504439651052,-1.45856437978968,0.297673237938425,-4.89988414776943,9.58931831697086e-07,9.49342513380115e-05,TRUE
"g18790",79.5314400601453,-0.933999376406798,0.190922246309137,-4.89204057915014,9.97958619086038e-07,9.82365515662819e-05,TRUE
"g12963",93.9764060246282,-1.52580701239477,0.313502031464347,-4.86697647625385,1.13318511066899e-06,0.000109688045376098,TRUE
"g7018",40.2965643981007,1.40007394209457,0.287683117354704,4.86672264597414,1.13464085525917e-06,0.000109688045376098,TRUE
"g12996",107.345375957628,-1.51763609867658,0.31189489141748,-4.86585750660848,1.13961605585556e-06,0.000109688045376098,TRUE
"g9578",390.417219213197,0.645488567106892,0.133143633494855,4.84806182739362,1.24673548240517e-06,0.000119335316202595,TRUE
"g4857",915.335085730404,-1.17423755820378,0.242718263337542,-4.83786239262432,1.31242949809302e-06,0.000124933192606932,TRUE
"g10481",30.6310385028769,-3.0256414295689,0.627270433324163,-4.82350397664175,1.41057953497289e-06,0.000133542570728991,TRUE
"g10859",306.74461110168,-0.898851691623452,0.188457324434995,-4.7695237864501,1.8466193850651e-06,0.000172933409979745,TRUE
"g8621",129.699096979925,-1.62412349667463,0.340729472508271,-4.76660702321606,1.87354229453474e-06,0.000174511399208679,TRUE
"g3245",201.56673937092,-1.03045073450933,0.21628685299073,-4.76427818085409,1.89530883214065e-06,0.00017559478886009,TRUE
"g8723",41.4022598530928,0.911465734169466,0.1914859654088,4.7599610353876,1.93630337147227e-06,0.00017792825945176,TRUE
"g8183",843.277518898143,-1.16824449087526,0.245769759632834,-4.75341023493107,2.00013928925789e-06,0.000182381122033647,TRUE
"g26345",168.911637808194,0.836889652096411,0.176151015129999,4.75097830959867,2.02434848583612e-06,0.00018362218595346,TRUE
"g17686",117.07366151355,-4.08610802494848,0.860971320861265,-4.74592814643463,2.07552386939685e-06,0.000186313217809847,TRUE
"g32616",3229.47601034079,0.742918057041266,0.157047260674083,4.73053814407519,2.23925445734522e-06,0.000199008807211099,TRUE
"g683",172.724075171879,-1.02237687425095,0.216125522648139,-4.73047727877759,2.23992596860977e-06,0.000199008807211099,TRUE
"g1495",900.354060244448,-0.881327503803135,0.186385604051314,-4.72851703482688,2.26165653542835e-06,0.000199914283042327,TRUE
"g14890",279.871372836934,0.821200374832296,0.174005858943019,4.71938347260602,2.3656050870489e-06,0.000208041158036154,TRUE
"g1494",1559.58457863212,0.74555010656185,0.158079500315388,4.71629847687009,2.40174024077256e-06,0.000209096229504445,TRUE
"g3208",548.201007331442,-0.624185330456487,0.133272054082591,-4.6835425082416,2.8195894716631e-06,0.000242761495265434,TRUE
"g33911",248.196852171332,0.631920572345138,0.134980234735838,4.6815785554221,2.84674267940591e-06,0.000242954763156194,TRUE
"g30014",89.9955018488003,-1.37764857957535,0.294583092244877,-4.67660438037007,2.91664171143004e-06,0.000245440123436152,TRUE
"g8508",254.341499982381,-0.691808425544847,0.148065511359529,-4.67231308082959,2.97826516896262e-06,0.000249267845663176,TRUE
"g1516",867.038461209609,-0.65492019613303,0.140295349181357,-4.66815329199851,3.03919113852371e-06,0.000251753572467466,TRUE
"g25777",28.5150519734246,1.12620245328225,0.241278832992141,4.66763884471761,3.04680850258741e-06,0.000251753572467466,TRUE
"g6227",139.883297372205,-0.645804340502624,0.138367312238779,-4.6673186755855,3.05155845415111e-06,0.000251753572467466,TRUE
"g14166",1539.52144564468,0.715553925046779,0.154015285953392,4.64599290010291,3.38444642861728e-06,0.000276582709319784,TRUE
"g16627",531.89337020613,-0.962751575149094,0.208462613472047,-4.61834167342524,3.86818954614312e-06,0.000310261036513563,TRUE
"g2861",249.371214234402,-1.0179030319211,0.221012009505774,-4.60564579362599,4.11187779865491e-06,0.000328287017795836,TRUE
"g8154",21.687500896625,-4.14803204001067,0.901763496734946,-4.59991123507397,4.22671007656914e-06,0.000332853418529819,TRUE
"g3980",338.94566095953,-1.73385576557166,0.378595784291958,-4.57970172281312,4.65639504029471e-06,0.000363387585914892,TRUE
"g9315",119.087396695862,-3.56519761334991,0.779888094928476,-4.57142202392111,4.84425551329007e-06,0.000376353034832962,TRUE
"g18140",14.6514728105854,-4.20323427377235,0.920595579511225,-4.56577716352276,4.97647190775368e-06,0.000384898999115324,TRUE
"g6910",476.520657491399,-0.981257138301638,0.215151221110691,-4.56077884771475,5.09642344198523e-06,0.000390688212975195,TRUE
"g3685",284.717439127463,-0.695609491094371,0.152552212119292,-4.55981254831244,5.1199302479873e-06,0.00039076119623956,TRUE
"g3989",92.1081972607462,-3.75869780014738,0.824518345189926,-4.55865878797587,5.14813334598137e-06,0.000391190395697926,TRUE
"g23282",2084.8228564623,-0.659129141711851,0.144730634209534,-4.55417849380523,5.25906885411696e-06,0.000396145077815549,TRUE
"g6591",32803.590442586,-4.43114886485526,0.977030151625523,-4.53532458285242,5.75149642820036e-06,0.000429502912149014,TRUE
"g10866",34.9694532790841,1.26324512467543,0.27889729625243,4.52942764827691,5.91436825393403e-06,0.000439770085834365,TRUE
"g4674",6059.06288904025,-0.719834921224608,0.159095846617426,-4.52453622472986,6.05280856795157e-06,0.00044808020609277,TRUE
"g4107",18440.7089771749,0.796111724759706,0.175988303380706,4.52366270636476,6.07785560933917e-06,0.00044808020609277,TRUE
"g3013",13244.0950511422,-0.609522782318155,0.134841431218182,-4.52029303465273,6.17540919276271e-06,0.000451856080293544,TRUE
"g16866",1878.68073900249,-1.23027856224833,0.272192059309087,-4.51989145227522,6.18713462055199e-06,0.000451856080293544,TRUE
"g7743",9431.68584471056,1.38367798289735,0.307312542788347,4.50251060481549,6.71554028042017e-06,0.000482766536756346,TRUE
"g3603",131.416338910913,-1.02802873639145,0.228456334926785,-4.49989157324487,6.79881322555473e-06,0.000486733219556759,TRUE
"g4859",273.871878963036,-0.661372846565609,0.147446478775653,-4.48551129913331,7.2739291444143e-06,0.00051605070081596,TRUE
"g5065",178.71017336944,-0.647736896027211,0.14441826254002,-4.48514533158655,7.28642533249374e-06,0.00051605070081596,TRUE
"g7641",16.940449613218,-2.43226309221648,0.542594373198701,-4.48265446963227,7.37202434971041e-06,0.000517784535632449,TRUE
"g523",1533.00342418075,0.650295465102215,0.145120317566105,4.48107801863094,7.42669542522184e-06,0.000517784535632449,TRUE
"g8656",75.845948021845,0.732286127826209,0.163433165233861,4.48064581493213,7.44175176753131e-06,0.000517784535632449,TRUE
"g13589",14076.2882386515,-4.6656578104035,1.04284715913504,-4.47396127949689,7.67836523073333e-06,0.00053211071048982,TRUE
"g10510",935.585989625935,-1.39496265872135,0.312581420979096,-4.4627177595902,8.09266178301323e-06,0.000558587113110375,TRUE
"g25613",32.8296299402253,-1.41447492105972,0.317036870110312,-4.46154707674081,8.13700654684421e-06,0.00055941920009554,TRUE
"g31919",87.126261301315,-0.924216449387222,0.207354187589325,-4.45718728969041,8.30420468077384e-06,0.000568657494444296,TRUE
"g11905",128.335579069086,0.999820255963929,0.224366041090618,4.45620135339518,8.34246809875648e-06,0.000569028581932898,TRUE
"g7219",365.942609632887,-4.08002739498333,0.917989362563525,-4.4445257879565,8.80859424440697e-06,0.000596128497204495,TRUE
"g12288",11.6994534116228,-4.49943583055254,1.01285278508621,-4.44233939700283,8.89860494465168e-06,0.000599876773019807,TRUE
"g11508",23.9470559677556,-1.83302579686635,0.41358488113753,-4.43204256360816,9.33445848797273e-06,0.000624399588046824,TRUE
"g1838",389.794274484777,-0.753952951637461,0.170460415185938,-4.42303833893077,9.7322462893446e-06,0.000646019796792702,TRUE
"g9189",58.9412443769432,-2.26166513800252,0.512475441373409,-4.4132166254472,1.018459981691e-05,0.000673466381022771,TRUE
"g4247",90.8673257654058,-0.734746204940167,0.16692662562978,-4.40161179900522,1.07449677873773e-05,0.000707819646069627,TRUE
"g9363",637.146092769075,-0.863780847002783,0.196568943744701,-4.39428950752588,1.11135628053736e-05,0.000726575379634331,TRUE
