"","log2FC","qvalue"
"NODE_29252_length_1645_cov_6183.978342_g7216_i2",3.18824418439539,0.0025
"NODE_39386_length_1080_cov_3627.980019_g13731_i1",4.73431028905299,0.0025
"NODE_46557_length_810_cov_19810.451985_g6591_i2",5.37987405784088,0.0025
"NODE_47477_length_782_cov_2782.565737_g9305_i1",3.40232815108295,0.0025
