gene_id,sample4,sample5,sample6,sample7,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
g0,669910.573,516738.864,619049.008,730347.739,532479.316,858278.529,658426.853,469392.082,1892016.244,461698.48,461704.906,661323.026
g1,1335.909,2019.001,1377,1792.722,1091,3369.848,1181.87,2972.088,3788.864,2339.547,857,1882.17
g10,5205.563,3706.68,4653.265,6694.704,4468.146,6694.083,4696.602,3318.825,17429.123,3306.424,3590.919,4640.451
g100,1580.721,1502.941,1168.99,2030.067,1388.733,2831.464,1493.317,1296.985,3732.864,1306.865,1061.15,1647.461
g1000,1810.437,1329.42,1823.552,2321.872,1562.51,2331.414,1701.801,1072.53,6641.165,1099.927,1017.719,1367.155
g10000,514.196,392.602,453.297,484.28,427.005,715.832,397.816,409.613,1663.553,359.412,312.161,541.56
g10001,367.41,252.972,336.942,535.81,239.459,492.555,336.883,263.719,1012.628,281.135,249.338,325.374
g10002,8.894,6.23,5.104,10.388,9.336,10.388,14.551,14.841,24.151,6.235,13.553,8.339
g10003,5.043,11.742,3,2,4.214,15.291,6.022,5.576,13.173,4,3.096,7
g10004,9,6,11,6,6,13,7.042,5,20.793,4.267,6,10
g10005,11.475,8,12.008,13,3.9,11,7,8,23.018,11,8,9
g10006,4,3,12,5,5,9,11,3,28,6,3,6
g10007,1387.04,874.384,1879.094,1496.603,1251.256,1579.737,1862.019,878.715,4613.262,601.519,1205.293,1401.949
g10008,95.722,86.133,98.676,163.855,84.627,295.259,89.743,96.875,373.279,112.496,76.547,112.75
g10009,168.004,236,44,89,85,90,100,123,248,70,33,119
g1001,1376.482,1114,1139,1645.001,1092.152,1851.152,1240.027,908,3973.544,921,861,1290.682
g10010,12.275,5.25,8.343,10.59,3.029,19.62,12.287,9.282,27.59,1.341,3.338,4.851
g10011,4,4,4,12.024,4,6,5.003,1,15.446,4,7,6.136
g10012,62.516,108.996,190.676,107.515,123.248,80.013,106.924,0,376.71,138.7,137.416,197.518
g10013,0,0,0,0,0,0,3.876,4.855,12.368,0,0,10.405
g10014,190.85,107.569,129.344,198.91,126.136,149.401,131.98,195.045,556.992,140.505,119.139,161.545
g10015,265.621,147.021,140.886,279.276,190.373,331.291,229.268,157.008,783.248,173.387,181.188,201.304
g10016,45.864,25.309,51.107,44.552,37.211,55.469,37.327,34.871,148.26,36.758,44.194,77.055
g10017,26.247,18.862,31.603,23.602,25.096,44.658,36.033,24.842,95.269,20.738,26.222,25.848
g10018,124,85.197,102,87.058,73,94.236,110,76.884,249.343,71.217,82,91
g10019,56.405,31.93,51.529,63.372,35.039,70.006,51.31,30.903,155.83,30.88,39.832,45.548
g1002,786,606.991,795.999,905.461,624.977,1158.991,791.966,674.001,2710.002,635,583.024,787.732
g10020,20,12,29.001,17,10,18,18,15,29,6,44,31
g10021,0,0,0,0,0,1,1,0,0,0,0,0
g10022,8.722,9.035,4.001,11.002,5.593,15.446,5.383,8.016,39.609,9.011,14,11.045
g10023,11,4.304,14,7,6,6,5,3,31.563,10,9,13
g10024,18.002,20.1,12,29.241,10,56.64,26,37.774,38.09,31.306,6.005,22.002
g10025,170.877,132.844,116.645,175.772,113.479,205.612,134.666,106.359,532.723,109.858,112.498,200.142
g10026,346.794,263.319,564.01,353.302,243.131,353.472,411.363,272.317,1287.178,323.35,273.203,334.286
g10027,25.673,21.075,26.719,30.082,26.007,54.637,28.149,11.057,89.684,21.749,28.961,40.552
g10028,33,23,14,10,13,13,4,12,33,15,13,5
g10029,28,15,0,0,0,0,25,53,0,0,24,28
g1003,2292.592,1762.469,2584.192,2469.422,1709.625,3169.923,2172.479,1505.621,6847.813,1544.646,1640.283,2192.838
g10030,14,10,10,10,11,24,8,14,38,5,6,11
g10031,10,5,0,0,0,0,12,11,0,0,15,19
g10032,29,36.096,20,17,14,69,21,57.083,59.094,32,10,48.301
g10033,62.162,34,30.098,24.156,16.455,20.689,36.155,38.131,88.173,11.436,16.918,13
g10034,31,9,1,1,0,0,31,67,0,0,14,12
g10035,0,7,0,14,3,9,0,2,17,3,2,12
g10036,12116.819,8742.211,12026.647,12604.881,8282.934,15247.292,10513.16,8496.671,21017.793,7571.15,6752.066,9492.875
g10037,293.521,177.022,114.7,78.017,222.05,272.333,232.308,112.841,745.436,96.119,123.585,133.611
g10038,6,4.35,8,11,5,10.996,7,3,25.071,3,2,5
g10039,8,2,7,10,2,5,3,5.005,9.001,5,1,4
g1004,991.752,777.934,1116.789,1173.887,927.913,1472.128,1100.982,777.365,3431.336,655.439,656.802,937.219
g10040,107.893,74.488,52.074,59.564,53.868,102.74,91.679,74.612,275.292,51.012,74.036,98.745
g10041,37.431,30.474,23.975,30.65,38.125,55.323,29.297,32.114,75.368,27.184,26.425,50.072
g10042,44.296,63.481,57.937,92.346,40.078,104.735,76.818,33.466,165.095,46.307,57.487,112.778
g10043,16.642,19.635,23.47,27.429,10.191,24.868,20.984,12.503,67.269,14.02,11.985,16.17
g10044,11,11,12,8,10,3,20,6,22,3,8,4
g10045,337.758,219.141,227,354.999,245.072,512,265.999,183.001,746,207,213,247
g10046,255.513,197.303,256,228,169.12,291.989,234,167,763.152,169,163,236.436
g10047,8,4,5,5,3,7,5,5,9,5,6,4
g10048,8218.94,17040.278,14398.983,16681.645,16097.542,43026.231,15722.617,11614.083,32561.44,11515.085,18446.503,27406.705
g10049,18.148,5.046,23.093,12.738,24.725,25.252,16.177,3.572,59.824,14.434,7.589,14.643
g1005,1421.246,927.475,1382.926,1584.847,1119.17,1995.62,1306.438,828.316,4733.367,805.821,993.777,1219.678
g10050,611.441,538.539,500.474,714.695,514.997,1037,619.833,505.883,1880.703,510.845,532.99,741.319
g10051,41.509,24.444,45.454,27.782,25.718,41.191,24.449,34.493,59.26,18.348,15.439,16.795
g10052,33.768,16,26,37,18,24.98,26,14,101,16,14,21
g10053,19.754,7,22.774,32,15,6,18.999,8.076,40.001,5.951,9,10
g10054,21,7,0,0,0,0,15,46,0,0,10,15
g10055,18.361,5.231,12.406,7.264,11.357,16.589,9.375,6.259,35.644,7.305,9.202,10.128
g10056,91.638,74,74,128,72,134.89,114.244,62.631,206.958,69.951,59.468,101
g10057,33.482,19.903,18.842,28.402,9.823,30.397,26.97,14.696,82.228,19.291,12.503,26.23
g10058,0,0,0,0,0,0,0,0,0,0,0,0
g10059,3.222,3,0,0,7.324,2.167,14.684,7,13,3,39.694,20.959
g1006,2776.24,2265.273,2204.61,3038.768,1623.025,3076.884,2689.841,2512.366,7555.774,1968.574,1502.152,2801.975
g10060,6,3,6,13.065,11,15,10,8,21,6,3.035,9
g10061,16,5,0,0,0,0,9,30,0,0,12,6
g10062,26.993,13.044,10.017,27.327,21.889,28.66,23.88,18.5,60.179,9.922,28.569,38.52
g10063,588.035,416.016,523,653,439,724,561,412,1520.82,411,403,485
g10064,10.363,4.468,12.085,8.983,13.447,17.274,10.055,11.131,33.096,5.001,10.384,6.051
g10065,9.916,15.728,57.457,57.711,38.181,79.776,17.598,19.459,103.175,24.828,49.367,48
g10066,8.002,5,23.802,13.833,10.973,14.994,15.229,12.308,24,6,10.925,9.819
g10067,0,0,128.179,10,0,0,0,0,0,0,2,0
g10068,72.477,43.068,122.81,143.38,72.8,100.429,64.603,25.692,561.997,65.831,122.799,134.279
g10069,16,9,17,23.156,11,23.923,17.004,11,41,14,12,28
g1007,1642.198,1257.952,1219.144,1829.224,1007.718,1881.496,1625.599,1068.222,4751.01,975.57,1010.176,1310.234
g10070,22.196,15.419,19.957,33.523,23.539,23.022,26.417,20.329,70.252,9.412,15.495,40.381
g10071,11,6,11,12,13,13,14,7,23,3,9,2
g10072,6,10,6,21,4,12,10,13,31,12,15,8
g10073,174.234,125.14,122.174,140.477,111.416,191.892,138.072,129.245,437.201,113.801,103.399,139.117
g10074,581.433,472.014,489.268,426.911,287.518,495.001,432.612,309.033,1130.621,298.748,285.766,402.661
g10075,289.682,208.367,278.574,265.859,202.022,267.204,275.264,195.206,764.3,228.763,160.785,257.59
g10076,230.053,135.029,140.945,215.946,130.488,150.008,195.898,196.743,534.177,135.003,127,281.791
g10077,14.754,11.441,16.71,50.236,17.113,35.317,19.968,22.783,86.78,34.943,23.005,27.679
g10078,44.089,22.224,46.057,35.72,44.403,30.495,33.195,33.283,121.534,24.955,28.015,28.464
g10079,35.908,13.518,21,14,14.818,37.143,46.451,36.571,35.175,8.796,19,20.968
g1008,735.259,550.073,563.471,794.687,494.622,1001.878,747.946,564.43,2258.692,489.249,481.532,661.387
g10080,14,13,25,12.019,12,26,22,10,37,21,10,22.108
g10081,12,6,9.818,10.261,1,5,5.672,2,19.628,11,5,6
g10082,9,6,12,8,1,12,6,8,34,5,10,4
g10083,40.028,13.42,20.186,22.098,20.347,24.909,20.073,14.293,47.006,13.006,13.062,22.468
g10084,3,6,10,12,3,10,6,7,10,3,4,5
g10085,721.379,471.893,733.657,672.115,485.493,748.849,652.375,472.386,2367.839,428.29,463.626,684.551
g10086,10,9,12,13.472,18,24.481,27.614,15.636,40.939,11.876,1,14.809
g10087,6,6,15.019,10,8,18.998,4,6.005,31.804,8,10,13
g10088,63.95,43.195,49.531,66.345,39.553,79.422,60.302,30.672,114.399,43.636,49.99,63.346
g10089,689.514,422.984,698.122,527.645,444.6,701.82,633.959,373.904,2369.306,307.41,423.439,483.083
g1009,1918.163,1734.004,2032.497,2811.432,1764.646,3155.999,2084.999,1582,6340.509,1626,1478,2100.999
g10090,6.96,3,12.925,17.98,11.868,12.071,13.604,14.361,34.343,8.515,8.672,12.506
g10091,3,1.657,3.02,2,0,1,1,0,4.802,0,2,226.427
g10092,2.005,8.101,10.035,14.023,7.047,11.132,8,7.032,27.081,4.022,17,11.106
g10093,14,17.013,11,6,18.236,26.962,22.887,9.761,53.384,11,4,10
g10094,15475.661,16803.133,11950.675,19477.039,10164.792,19189.953,12624.345,14208.831,39162.025,16012.145,8597.218,16076.712
g10095,36.431,67.532,33.771,47.148,29.004,40.215,56.003,51.112,120.337,72.565,31.02,62.276
g10096,3,3.001,6,9.164,5,5,3,4,11.953,1,3,2.009
g10097,6,3.223,4,3,4,4,3,6,13.593,4,2,8.034
g10098,145.227,116.06,132.253,159.701,87.575,241.852,135.997,97.746,417.417,74.088,84.766,106.449
g10099,3634.869,2228,3535.191,3926.069,2567,4531,2855.958,1765,7466.485,1786,2255,2906
g101,3875.658,3203.742,3408.269,4707.142,2809.259,5087.614,4742.787,3287.367,14416.131,2331.004,3416.454,4634.239
g1010,2339.638,2017.321,1807.226,2663.676,1731.192,3211.415,2283.283,1855.051,6182.717,1657.895,1467.814,2130.239
g10100,56.266,40.576,27.125,61.833,26.983,56.068,53.516,59.396,176.657,38.932,22.65,67.821
g10101,0,0,0,0,0,0,0,0,0,0,0,0
g10102,7,2,6,6,6,5,3,4,4.339,4,2,5
g10103,802.134,599.926,852.39,1038.219,707.532,1128.646,772.121,493.418,2417.216,535.426,643.971,910.061
g10104,34.82,26.34,157.71,36.555,33.912,42.286,83.43,15.01,92.561,40.213,71.3,30.5
g10105,9,8,10,10,5,7,2,4,31,4,2,9
g10106,10,3.027,9.011,6,1,6,4,3,12.96,7,3,2.971
g10107,7,8,9,7,12,7,5,4,14,5,4,1
g10108,39.452,27.988,49.994,31.843,35.732,64.065,62.511,36.106,186.173,24.302,44.979,49.431
g10109,358,248,322.004,370,292,443,329.031,243.981,955.204,243,249.036,348.269
g1011,351.964,357.399,381.96,511.666,322.021,651.629,406.36,480.935,1201.463,327.886,231.747,391.612
g10110,224,145,171,141,86,187,206.197,187,474.045,115,122,186
g10111,31.964,3.159,18.509,5.363,7.364,16.933,6.472,6.348,41.264,6.43,7.721,9.957
g10112,104.47,67.432,72.673,73.485,85.033,87.837,61.987,57.193,278.162,47.648,69.91,79.987
g10113,6,1,8,7,6,7,4,5,31.985,7,5,4
g10114,11,6,11,6,6,9,5,6,19,6,7.037,6
g10115,5,6.014,13,9,6,3,11,5,7.003,3,3,5
g10116,498.735,337.861,343.344,495.891,262.701,415.108,363.46,374.577,1264.691,296.363,295.455,402.103
g10117,170.468,100.084,112.631,176.784,95.999,182.999,129.706,131.003,526.578,119.489,97.879,172.824
g10118,19.6,14.678,5.902,2.424,13.313,17.811,5.566,10.383,20.648,0,9.208,18.789
g10119,10,256,7,176,36,240,3,283,164,250,14,283
g1012,3063.978,2347.31,2362.521,3068.571,2152.252,3978.007,2973.253,2126.432,7390.246,1963.406,1943.317,2841.996
g10120,56.07,28.68,27.705,57.867,29.488,49.657,41.013,41.968,98.086,24.508,29.67,38.378
g10121,18.033,34,35.35,57.327,17.013,40.573,20.399,23.165,76.923,23.369,9.112,28.167
g10122,0,0,0,154,0,0,0,0,0,0,0,0
g10123,7,6,11,8,5,6,5,5,15,6,1,7
g10124,496.443,430.497,490.007,598.548,412.678,690.109,534.638,406.128,1494.027,355.449,355.802,532.011
g10125,37,27.004,27.011,60.582,34.718,42.888,20,21.81,85.544,23,18,38.6
g10126,10,21,0,0,0,0,15,18,0,1,6,27
g10127,7,5,18.024,8.738,5,11,6,3,14.315,7,3,6
g10128,15.039,12,6.999,10.004,7,4.043,0,6.016,21.641,4,1,6
g10129,268,174,293,233,168,273,226.93,170.025,809.536,198.822,166,278.037
g1013,1119.111,917.277,924.562,1487.222,883.351,1733.947,1186.638,860.586,3901.689,771.89,972.453,1328.494
g10130,27.452,20.109,25.138,21.316,16.115,40.082,18.728,13.08,57.447,17.745,17.852,4.826
g10131,65.659,65.859,70.269,115.551,68.976,126.482,65.734,43.838,173.853,73.965,52.415,85.538
g10132,12.647,10,16.804,14.999,14.853,10.708,12.798,13.388,34.648,9.02,16.612,48.935
g10133,13,11,7,5,6.083,17.96,10,16,16,5,1,11
g10134,38.282,46.139,51.001,44.586,46.741,82.996,43.337,65.058,207.16,32.571,19.354,75.46
g10135,641,587.004,553.83,736,562,963,697.001,568,1918.187,486,500,734.587
g10136,433.824,222.453,439.748,362.229,272.052,363.496,320.802,225.078,1061.931,238.818,251.45,425.485
g10137,221.09,111,134.093,147.775,96,124.856,159,180.909,373.423,94.22,95.996,142.954
g10138,5,2,0,7,2,6.015,8.064,4.412,13,0,3.001,9
g10139,237.033,183.145,263.582,248.892,158.595,333.022,267.827,199.655,725.275,179.322,165.009,293.634
g1014,1012.853,919.204,848.505,1449.821,720.627,1383.634,994.1,736.821,2614.559,609.647,792.934,1239.342
g10140,34,14,17,13,15,22,6,11,32,9,4,9
g10141,20.042,18.662,21.242,32.183,11.006,23.214,25.859,17.709,58.577,15.277,20.155,21.863
g10142,3,4,0,0,0,0,13,33,0,0,9,11
g10143,2825.325,1451.024,1553.4,2726.946,1256.298,3041.015,2019.983,1272.354,4760.271,1759.341,1334.602,2137.075
g10144,9,8,10.004,8.126,14,13.712,10,10,16,10,3.002,8
g10145,28.562,16.065,22.138,48.502,28.482,33.733,36.905,16.911,85.297,12.729,27.663,17.918
g10146,493.047,339.265,460.955,573.855,412.325,699.182,477.013,434.494,1476.037,305.274,300.788,439.285
g10147,61.671,54.65,64.743,96.05,54.226,84.686,51.949,46.188,227.611,43.189,40.299,68.88
g10148,48.032,20,28.074,24.009,21.02,35,23.006,17,94.753,28,25,33
g10149,20,11,24,20,30,16,18,5,42,9,15,16
g1015,700,478.049,561,757,481,906.425,716,534,2242.002,437,492,568
g10150,14.371,12.037,22.013,18.898,13.936,18.752,12.018,14.762,43.396,8.008,9.099,12
g10151,6,5,8,12,7,15,4,3,31,4,2,5
g10152,46.746,25.743,22,39.567,21.996,39.998,40.765,35.705,125.421,17,36,29.269
g10153,19.828,8.517,15.528,18.382,18.099,21.97,11.118,14.769,49.795,16.506,13.518,17.288
g10154,0,0,0,0,0,0,0,0,0,0,0,0
g10155,4,4,11,1,6,9,5,4,24.039,4,10,3
g10156,3,1,5,5,8,10,3,5,19,3,4,2
g10157,7,4,7,8,5,7,8,3,25,2,0,4
g10158,10.514,0,11.296,10.038,12.957,29.371,11.814,6.389,47.534,19.978,14.705,18.292
g10159,28,17,104.026,79,67,113,46,25,198,31,38,37
g1016,2669.353,1724.074,2584.104,2432.507,1854.476,2888.113,2270.069,1803.747,8851.295,1607.699,1538.426,1892.17
g10160,11,1,23,8,10,11,14,2,49,6,11,8
g10161,28.9,11.716,18.554,23.995,23.133,33.645,11.707,19.503,65.234,2.793,22.533,21.708
g10162,24.619,14.002,41.033,31.995,27.675,54.171,16.619,17.034,62.255,15.999,11.146,18.181
g10163,1156.719,957.378,1291.413,1459.506,1169.754,1839.861,1255.289,1151.504,4821.462,1341.254,653.751,1013.638
g10164,75,71.403,67,64.062,55,101.008,70.362,99.953,205.966,64,43.541,98.019
g10165,83.87,54.679,58,57.526,44.664,128.58,60.154,66.519,188.548,57.748,53.821,65.082
g10166,74.002,39.695,49.439,79.885,52.127,113.508,60.345,66.2,170.775,48.507,30.601,76.126
g10167,2,1.076,22,39,4,16.24,1,1,11,6,4,5
g10168,293.203,182.974,216.671,310.453,212.19,423.071,311.798,195.009,810.017,167.692,211.606,281.661
g10169,242.842,206.448,226.782,213.097,184.969,591.731,299.918,222.004,691.084,171,217.152,273.824
g1017,743.199,590.177,628.258,752.115,462.441,750.044,609.56,656.559,2220.88,509.302,352.213,614.214
g10170,253,174,212,263.001,143,315.082,242,162.997,655.891,147.997,173,186.984
g10171,56.506,26.838,43.302,61.231,36.099,56.492,41.864,40.151,158.699,37.536,25.409,35.967
g10172,50,42,57,58,55,87,54,24,222,50,42,59
g10173,0,2.279,6,3,3,5.998,6,5,16,1,3,6.054
g10174,33.913,23.002,66.936,71.322,37.926,62.327,54.65,29.811,116.502,30.346,24.682,29.843
g10175,207,166,203.227,205,192.124,293.4,194.015,118,542.877,101,139.603,197
g10176,39,19.232,32.001,32,24,48,32,25.005,81.022,22.02,26,23.016
g10177,7,2,7,8,11.017,8,8.001,5,29.054,7,7,6.594
g10178,11.08,9.041,9.047,6.029,12.061,21.134,15.066,3.042,27.171,5.157,9.043,6.033
g10179,381.999,374,174.692,354,144,339,527.001,311,587,190,466,544
g1018,949.277,535.702,544.566,849.697,472.291,718.015,826.751,694.039,1712.629,494.417,428.524,780.395
g10180,99.379,64.073,107.597,132.036,92.827,136.281,128.949,103.458,300.83,68.145,57.299,98.607
g10181,8.662,0,6.085,4.666,1.034,9.361,5.823,1.531,13.177,2.329,0,0
g10182,23.823,27.827,36.872,33.666,34.35,28.855,23.329,14.811,50.415,6.676,19.128,41.636
g10183,89,52,25,31,23,26,12,23,53,24,33,19
g10184,12,7,8,4,5,4,5,2,11,7,7,4
g10186,1019.901,788.78,1026.331,1040.586,759.439,1161.078,932.515,757.755,3334.225,666.799,788.664,1113.916
g10187,158.247,129.255,254.133,194.016,179.341,248.98,157.728,75.646,544.571,182.603,140.534,199.1
g10188,18.731,17.634,15.99,19.402,11,24.023,21.206,22,37,22.944,9.198,12.106
g10189,52,22,25,42,21,40,33,21,139.023,18,20,31
g1019,4299.982,3254.725,4290.399,4468.738,3236.386,5669.397,4252.225,3013.157,11623.044,2726.52,2938.861,4431.917
g10190,7,4,18,4.043,9.108,8,6,6.106,24,6.09,4,7
g10191,9,1,9,6,4,9,42.988,11,14.239,15,10,15
g10192,4.684,8.979,5,6.101,6,7.983,7,1,23.853,3,4,8
g10193,1643.333,1062.624,1463.306,1608.114,1067.075,1492.996,1493.242,1058.803,5228.982,1047.191,1034.335,1542.563
g10194,374.07,351.35,297.158,438.165,282.89,603.915,364.862,269.3,1009.44,246.382,281.035,434.616
g10195,353.997,230.911,358,295.177,292.072,615.278,368.427,231.99,1144.902,295.013,245,366.941
g10196,36.258,38.868,69.083,45.942,33.198,31.589,57.179,31.223,92.264,20.855,26.915,14.949
g10197,64.621,46.283,50.393,55.967,45.463,80.95,57.65,41.975,126.304,49.99,38.587,58.265
g10198,5.107,4.188,7.519,21.833,16.569,33.247,13.715,9.332,21.715,7.573,4.502,15.04
g10199,22,17,11,19,9,16,7,6,26,6,5,5
g102,3746.881,3292.575,3177.499,4579.133,2832.409,4978.255,3964.974,2761.679,12197.477,2640.551,2759.759,3954.429
g1020,152.004,132.042,194.148,241,140.035,254,167.92,130,522.525,162.017,110.004,180
g10200,11,9,20,10,7,4,10,6,35,8,12.673,5
g10201,4,3,3,13,2,12.617,3,9,13.482,3,0,5.553
g10202,1359.13,1216.271,1040.739,1576.159,1128.459,2287.453,1534.878,1095.276,4199.705,1068.208,1030.31,1428.211
g10203,130.993,100.838,65.558,159.969,101.188,158.647,139.046,163.003,315.231,105.32,82.114,186.446
g10204,22.123,9.715,25.132,13.589,16.003,26.982,23.396,10.644,43.238,14.074,11.763,25.478
g10205,140.658,91.867,135.946,132.905,109.833,151.497,131.457,107.738,464.406,86.505,77.211,136.733
g10206,6,3,7,10,8,3,8,2,14,11,2,7.005
g10207,32.187,25.777,23.624,25.895,25.08,20.717,21.372,15.987,60.352,24.959,13.029,25.48
g10208,9.053,1,5.031,6.045,5.935,9.001,2,3,24.08,6.223,5,6
g10209,79.286,94.602,221.941,148.994,60.534,232.378,256.123,64.632,551.346,47.807,125.108,123.54
g1021,1233.165,1102.697,1088.129,1583.828,1054.983,1560.246,983.087,739.098,4663.304,821.121,681,1142.257
g10210,12.958,12.58,20.283,16.162,12.095,12.271,6.018,7,36.586,3.048,7.773,11.912
g10211,106.109,77.316,87.876,164.248,93.538,161.47,104.079,94.294,358.121,110.681,58.004,89.246
g10212,5,21,10,19,11,20,12,8,34,6,12.002,19
g10213,1196.156,1237.324,1010.038,1768.434,1417.946,1519.293,1066.307,883.356,5076.277,1079.803,891.542,1964.74
g10214,489.513,295.109,539.76,439.527,303.159,448.927,447.556,320.917,1671.748,319.665,342.719,386.066
g10215,256.913,157.998,803.417,658.339,50.49,69.761,97.002,57.434,39.082,1.63,154.837,230.862
g10217,30,8,0,0,0,0,21.934,31.36,0,0,17.681,19.028
g10218,8,3.095,10,11.337,8,7.467,14.662,11,38.656,8,6.356,5.11
g10219,4,3,10,8,4,10,4,3,18,9,4.994,11
g1022,158.03,74.14,87.441,180.186,99.495,137.311,105.145,131.726,282.543,70.76,52.49,136.255
g10220,3,3,3,3,3,8,8.995,5,10,1,0,7
g10221,250.503,157.389,240.919,240.344,171.941,304.253,209.077,150.204,610.832,146.547,152.377,214.335
g10222,4,9,6,14.998,5.397,19.385,6.022,12.055,24,6,6,6
g10223,11.416,10.47,7.136,17.95,8.563,22.677,17.802,9.601,42.113,12.237,9.298,13.536
g10224,1,0,0,0,0,0,0,0,0,0,0,0
g10225,3,7,7,14,6,13,8,9,28,8,1,7
g10226,4,6,0,0,0,0,13,13,0,0,9,19
g10227,11,10,19,20.007,5,15.007,11,6,29.907,6,2,12
g10228,28.13,43.562,34.136,43.268,53.085,77.405,41.971,37.33,178.077,25.128,24.075,88.287
g10229,7,14,8,10,8,11,9,7,15,7,12,5
g1023,4081.446,3885.113,4461.652,6053.469,4081.694,6820.115,4674.853,3278.442,13101.214,3100.444,3758.498,5236.006
g10230,9,3,4,10,6.627,9,7,5,29.891,2.999,4,8.978
g10231,638.535,536.102,743.747,940.825,585.998,700.514,712.741,410.685,2144.38,462.294,505.797,609.548
g10232,573.365,417.07,457.773,676.731,362.011,759.729,542.041,381.275,1396.594,334.061,343.845,619.202
g10233,253.209,131.076,271.712,186.3,173.792,292.698,271.489,162.74,914.254,196.319,184.554,241.805
g10234,19.366,17.867,19.833,23.808,17.52,42.234,22.813,24.504,68.097,20.978,18.891,23.756
g10235,34,16.127,69.255,33.972,35.324,30.575,32.609,17.063,110.402,29,18,40.298
g10236,28.757,19.107,25.569,39.179,20.604,35.471,35.149,27.97,82.464,23.252,9.988,37.388
g10237,18.003,9,12.042,10.449,28.107,33.773,23.928,16.227,53.77,11.015,19.575,24.582
g10238,8.004,8.06,15.018,22.317,10.05,23.1,16.134,6.059,39.226,6.051,8.006,12.425
g10239,14,45,0,0,1,0,5,32,0,0,17,36
g1024,2788.313,1930.164,2296.002,2764,1698.97,3262,2212.348,1710,8488.886,1583,1643,2506
g10240,15,8,9.007,7,6,3,19,10,40,10,9,11
g10241,5,7,4,8,4,4.044,1,4,12,3,4,4
g10242,11877.735,8378.727,11943.463,14863.786,8849.205,17223.791,10217.948,8148.281,27221.607,8407.686,7312.068,9539.427
g10243,0,0,0,0,0,1.727,0,2.622,0,0,0,0
g10244,794.35,525.92,912.101,880.61,498.113,667.826,705.953,517.381,2060.123,563.785,515.609,652.005
g10245,1.397,1.225,0,1.235,2.622,0,17.21,7.064,40.759,7.667,13.808,25.89
g10246,384.818,313.317,413.772,391.999,240.914,500.53,375.628,265.915,1175.953,272.045,313.228,456.659
g10247,10.816,8.999,7,7.334,11,15,10,4,18,6.999,12.735,15
g10248,8,7,9.976,12.044,10,11,3.037,7.431,19.026,7,6,14
g10249,3.088,2,3,8,6,14.991,8,6,17,4,5,2
g1025,8657.265,7833.097,7413.057,10386.647,7301.296,14458.075,9099.64,6827.368,23300.843,5966.711,6952.027,9654.431
g10250,864.724,737.24,976.128,1008.911,658.201,1129.063,836.992,546.294,2994.011,602.21,547.432,830.513
g10251,158.681,80.023,187.648,133.208,104.902,175.773,158.435,94.642,511.41,92.882,123.778,124.289
g10252,325.289,170.417,174.293,300.099,157.343,221.061,200.814,190.894,742.476,172.106,141.338,280.665
g10253,7,6,11.465,14.032,15,13.058,6.296,3.396,37.253,4.256,11,7.517
g10254,5.28,1,5,8,1,4,7.058,5,15.505,3,1,4.261
g10255,525.705,339.162,577.117,501.132,362.016,624.003,438.041,326,1326.681,320.001,399.764,546.835
g10256,11.115,3.243,11.017,5.035,6.346,10.012,5,3,21.075,5,4.051,2
g10257,253.822,148.908,245.887,248.063,200.232,280.006,206.357,143.772,734.87,187.337,190.073,246.791
g10258,85.882,58.471,90.988,51.26,51.44,119.192,73.63,67.128,118.756,40.091,52.737,77.827
g10259,896,719.416,945,787.02,614.008,1138,905,655.581,2278.067,676.27,650.001,1001.001
g1026,755.975,582.015,664.31,876,518.848,1029.99,774.797,635.717,2294.963,560.085,538.157,738.501
g10260,26.251,14,22.127,23.322,18.804,25.169,34.984,13,61.22,7.049,20.951,17.844
g10261,9,19,0,1,0,0,10,11,0,0,13,22
g10262,389.356,278.963,165.044,121.93,438.488,762.22,494.295,335.917,526.492,97.617,300.907,379.732
g10263,599.867,405.593,471,624,365.99,732.086,597.995,458.011,1289.823,308.989,374,506
g10264,59.664,31.166,30.211,20.925,16.118,24.54,39.012,36.529,122.217,32.828,20.466,27.182
g10265,62.323,43,33.987,69,28.995,72,46.386,38.943,122,35,46,64
g10266,17,4,16,11,10,7,16,4,44,7,9,13
g10267,16,10,12,8,4,9,4,12,20,7,4,7
g10268,11.017,5,10.011,9,13.002,10,6,5.003,29.638,1,5.011,5.037
g10269,5.563,5.333,24.737,15.164,4.017,15.103,2.699,0,14.828,9.539,3.963,5.812
g1027,7044.631,5184.203,6791.194,8360.819,5600.621,8770.021,7071.695,4352.558,22031.238,3982.588,4864.066,5809.782
g10270,7.285,18.905,13.973,13.024,17.727,21.162,16.553,7.171,65.035,17.395,7.625,21.098
g10271,44.264,41.136,35.24,53.438,18.729,58.644,38.573,32.129,88.953,18.315,31.087,42.805
g10272,19.344,22.81,30.03,31.141,21.958,44.141,25.126,13.533,76.309,20.778,15,24.854
g10273,9,7.299,8.153,13.074,10.036,12.97,10.07,9.233,32.832,10.074,3,7.943
g10274,9,11,3,6,3,9,5,5,6,0,2,1
g10275,1631.293,3856.935,1100.817,3300.161,1878.31,5164.482,3135.622,1538.308,3383.826,2118.113,2753.528,9192.003
g10276,481.983,376,646,467,459,738.901,554.996,318.98,1486.99,292.431,348.998,484
g10277,310.933,254.512,271.866,402.269,232.515,388.029,268.92,297.886,1291.358,242.816,211.168,359.449
g10278,23,16,23,33,13,17,11,10,54,10,10,5
