gene_id,sample4,sample5,sample6,sample7,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
g17057,9.27,3.001,8.953,5.002,6.035,10.963,7.035,8.024,20,5.822,3.978,2.005
g17058,0,0,31.763,7.298,42.006,110.733,427.929,0,5.153,0,1,0.908
g17059,3.906,4.529,2.661,1.238,5.154,10.606,5.107,0,17.435,2.548,1.192,0
g1706,4433.562,3216.326,4881.86,4885.517,3511.897,7393.363,6458.543,3378.865,16715.555,2946.693,4216.065,5309.215
g17060,17,9.008,12,9,11,26,9,56,27,11,6,27
g17061,2,0,5,3,4.097,6,2.082,5,8.001,0,2,1
g17062,12,2.001,2,11,7,8,2,9,14,8.001,9,6
g17063,3.011,4,7.292,3,2.002,0,7,10.616,6,5.435,3.519,7.414
g17064,6.768,2.102,1.001,8,9,8.958,6.909,5.776,13.675,5.007,5.665,7.05
g17065,6,1,2,5,3,6,4,0,15,1,8,3
g17066,3.057,1.048,4,4.034,3,2,3.122,3,13.099,4,2,2
g17067,5,4,2,1.008,1,4,0,2,3,2,4,8.045
g17068,4,5.13,3,2,3,4,4,2,4,4,2,4
g17069,7,6,3,3,3,2,1,0,2,2,2,2
g1707,39.613,194.107,28.033,131.945,35,406.437,38.932,391.52,166.882,190.511,25.838,170.853
g17070,1,0,3,2.008,1,3,5,4,4.098,0,2,2
g17071,13.992,9.762,7.035,11.266,6.982,8.337,11.895,7.383,24.971,5.367,11,22.793
g17072,19.001,11.079,17,18,12,16.075,9.122,7,36.036,6,9.002,16.207
g17073,17.866,11,6,17.687,6,8.358,5.937,12.445,26.628,3.852,7,12.907
g17074,32,20,0,0,0,0,7,11,0,0,8,23
g17075,0,0,0,0,0,0,0,0,41,119,0,0
g17076,4.088,2.042,5.087,6.089,4.186,7.144,8,3.07,12.153,3.002,1.021,3.061
g17077,3.003,3,5,9,4,11,3.004,3.004,15.066,4,3,6.001
g17078,4,9,6,3,3,5,6,3,12,4,3,3
g17079,6,2,6,2,5,4,5,4,6,7,1,5
g1708,412.706,283.431,247.693,488.225,257.959,388.674,357.059,417.478,1068.55,324.221,224.861,436.473
g17080,4.002,5,5,5,1,1,1.046,1,13,2,1,3
g17081,4,4,4,6,3,9,4,2,8,2,0,4
g17082,5,3,1,4,3,3,3,2,20,1,4,4
g17083,0,0,0,0,0,0,0,45.52,0,0,6,0
g17084,2,1,2,1.074,0,2.851,1.283,3,10.283,0,0,4.055
g17085,5,2,4,4,4,5,1,2,5,7,1,1
g17086,5,1,4,3,1,6,1,1,7,1,3,1.003
g17087,134.941,52.487,90.58,97.393,68.804,93.622,69.572,48.205,391.974,56.663,57.398,62.59
g17088,31.302,20.618,35.769,28.16,49.954,63.902,0,0,11.59,1.69,0,14.274
g17089,1.01,0,7,1.013,3.015,4.099,2.105,8.11,7.106,1.025,1,2
g1709,1526.364,1241.902,1370.292,2106.7,1287.686,2219.443,1302.12,1280.765,4458.408,1304.834,807.01,1461.679
g17090,20.812,3,24.929,16.262,7.498,8,10.256,6,36.393,9,7,15.057
g17091,11,6,19,14,4,16.001,12.005,7.029,39.001,6,9,4.001
g17092,0,0,0,0,14,200,0,0,0,0,0,0
g17093,22,8,0,2,0,0,12,27,0,1,5,13
g17094,9,2,5.002,3.555,3,4,9.034,2,15.827,2.026,11,9
g17095,19,5,0,1,0,0,3,21,0,0,4,12
g17096,17,6,0,0,0,0,5,16,0,0,6,9
g17097,1,2,6.002,1,5,5,4,1,18.023,1,5,3
g17098,5,2,3,3,6,9,5,2,11,6,1,5
g17099,2,4,3,7,1,4,1,4,12,3,5,1
g171,32655.821,23428.196,23784.714,32755.147,22836.639,39730.125,28465.723,22620.444,95393.403,19948.711,21395.63,30586.031
g1710,285.599,240.999,243,347,274,441.284,302.002,302,817.237,225.272,150,317
g17100,4,3,1,2,1,3,5,0,11,6,5,5
g17101,8,6,0,0,0,0,5,21,0,0,1,11
g17102,3,0,5.041,4,3,3.301,7,3.537,10.001,1.1,3,0
g17103,2,4,2,7,4,7,3,0,9,2,2,2
g17104,0,0,0,0,0,0,0,0,0,0,0,0
g17105,1,3,0,5.028,2,1,2,14.06,3.537,6,0,7.391
g17106,4.435,3.626,1.295,7.159,7.388,9.824,7.338,1.289,20.649,4.361,7.557,4.29
g17107,4.226,4.149,0,4.63,2.143,7.709,1.014,2.073,10.123,1.057,2.018,1.005
g17108,655.379,478.857,471.764,641.542,382.246,925.085,554.822,509.041,1530.863,426.873,403.476,652.516
g17109,12.519,2.841,16.834,58.043,16.165,41.637,49.218,39.414,50.449,21.687,17.287,12.296
g1711,28,17,28,44.24,33,73,35.038,28,120,36,26,28
g17110,256.195,152.672,214.229,268.93,146.304,238.741,203.529,171.272,533.275,134.159,182.487,223.768
g17111,0,0,0,0,0,0,0,0,0,0,0,0
g17112,10.001,4.007,7,22.111,7,9.838,12,3.26,34.997,5,8.055,13
g17113,101.704,54.914,88.867,75.809,79.311,94.473,87.919,72.916,252.31,50.556,62.605,87.69
g17114,26.633,12.373,0,2,0,0,17.688,42.644,0,0,11.095,10.902
g17115,0,0,0,0,0,0,0,0,0,0,0,0
g17116,0,0,2.385,0,0,3.086,7.542,0,10.691,0,0,0
g17117,11.874,1.324,10.725,8.063,4.197,8.554,4.139,4.196,29.938,4.029,8.72,8.062
g17118,0,0,5.183,4.058,0,3.768,8.774,5.177,10.347,5.059,0,0
g17119,10,9,1,0,0,0,8,19,0,0,3,3
g1712,1453.708,1290.144,1145.541,1927.223,1189.055,2150.406,1465.175,1337.813,4226.58,1242.501,1050.886,1902.406
g17120,0,0,0,0,1,0,0,0,0,0,0,0
g17121,7,1,6,11.024,5,1,5,1,10,2,1,3
g17122,3,3,2.064,2.008,3,2,5,3,12,0,2,4
g17123,2,0,5,4,2,2.008,0,4,6,1,1,0
g17124,4934.965,3227.311,5025.647,5970.78,4441.304,7451.673,5160.19,3797.342,12246.489,3607.607,3846.771,5125.739
g17126,529.114,442.934,417.356,566.846,484.396,764.355,586.658,392.801,1477.89,356.984,411.597,516.34
g17127,22.18,12.192,15.14,9.163,7.062,10.105,13.172,7.131,34.636,6.562,8.946,14.22
g17128,40.697,42.009,27.914,44.217,13.096,26.197,43.923,28.24,137.442,26.642,31.406,102.839
g17129,5.039,8.027,4.004,23.107,5.027,23.088,11.868,7.013,39.216,11.971,5.014,10.073
g1713,1560.009,1204.032,1248.999,2007.617,1156.25,1989.09,1341.87,1150.453,4510.729,1082.767,964.247,1328
g17130,61.104,50.561,42.694,79.634,36.999,59.784,39.674,48.843,123.263,28.803,24.266,59.585
g17131,3.575,0,5.913,6.446,0,2.932,2.578,0,7.622,0,1.414,1.647
g17132,2,7,4,7,3,59,8,54,18,8,4,3
g17133,6.238,6,3.091,4.213,5.359,12.055,2.152,9.847,13.391,5.96,3.038,2.243
g17134,3,2,7,7,12,7.022,7,1,19,1,3,4
g17135,6,6,0,0,0,0,8,16,0,0,10,7
g17136,1,3,1,6.286,5.579,11.192,8,6,16.795,4.329,8,5.025
g17137,1,3,9,2.311,6,4,6,2,19,0,0,1
g17138,0,2,2,4,2,31.879,1,2,1,6.999,0,0
g17139,79.48,56.646,111.102,113.635,91.651,116.58,62.491,26.852,208.17,61.399,78.072,127.619
g1714,762.014,591.961,578.682,856.579,644.828,1445.975,615.036,516.962,2865.471,634.973,454.668,713.384
g17140,18.729,10.06,23.739,16.514,8.057,19.172,16.125,7.148,44.146,7.133,21.108,11.093
g17141,225.59,175.556,181.072,226.203,139.707,201.099,130.182,61.627,365.795,88.375,209.421,244.106
g17142,1.973,0,1.751,6.437,0,0,0,1.679,15.101,4.573,1.368,0
