gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g17164,11.18,25.619,13.041,18.385,8.179,15.732,16.168,13.744,11.752,16.283,13.98,21.452,39.523,2.333
g17165,44.465,53.901,45.522,39.246,49.969,66.4,55.486,47.289,49.564,44.149,30.878,40.845,120.782,32.753
g17166,7.548,1.066,22.623,12.312,27.088,71.166,0,25.23,30.931,4.315,21.013,4.214,30.315,6.924
g17168,35,34,33,38,23,22,24,26,37,29,14,14,80,25
g17169,1,2,1,3,3,4,2,2,1,1,3,1,149,2
g1717,301.239,269.572,393.071,416.93,362.626,503.223,348.517,404.846,314.982,385.778,267.198,477.143,1303.556,252.007
g17170,5,13,9,3,11,1,1,1,5,0,4,5,11,11
g17171,2,8,1,11,8,6.665,6,3,4,8,3,2,10,8
g17172,3.039,6.011,3.009,3,1,6.185,11.19,2.003,1,1,0,2,5.457,0
g17173,2,6,4,4.031,2.005,5.06,8.015,1,4,4,0,2,13.33,3
g17174,4,6,7,5,3,6,2,7,4,6,5.179,4,4,2
g17175,3.985,2,2,7,5,4,4,5.07,1,3,2,5,13,1
g17176,14,9,0,7,0,7,0,0,0,0,0,12,0,6
g17177,2,2,5,7,0,5,7,3,4,0,3,4,8,0
g17178,6,17,0,7.851,0,6,0,0,0,0,0,4,0,5
g17179,2,2,1,2,3,5,3,3,1,6,6,4,9,2
g1718,353.339,436.177,269.683,287.455,184.656,280.44,259.271,211.401,210.481,261.322,215.947,258.716,820.669,123.06
g17180,0,0,0,1,1.001,1.025,1,3,2.871,1.021,3,5,7.297,1
g17181,118.546,102.132,145.691,64.552,106.704,103.386,33.712,47.828,106.737,40.744,92.295,120.834,83.273,54.518
g17182,193.401,109.544,214.519,68.588,137.728,101.08,176.067,22.242,107.011,323.193,98.367,204.484,586.704,121.799
g17183,109.804,134.207,180.088,109.275,118.99,114.408,135.222,99.191,80.165,152.022,85.058,81.151,339.61,68.04
g17184,100.816,163.53,132.092,69.011,85.32,70.739,132.707,71.381,83.398,88.878,41.362,57.533,179.58,86.064
g17185,7.808,5.634,9.447,7.699,12.831,8.661,4.493,7.119,5.714,3.428,3.524,17.203,9.217,2.647
g17186,15,165.001,70,19,23.998,94.996,32,46,18,25,18,23.005,56.116,27
g17187,7.088,2,7.001,13.487,15.15,17.098,16.156,9,6.08,11.188,6.17,14.647,14.856,4.819
g17188,15.101,14.835,18.993,11.994,13.486,15.63,16.022,14,10.646,19.446,8.575,4.859,39.432,7.903
g17189,6,7,12,5,7,13,6,11.21,11.305,11,6,7,33,6
g1719,8898.34,9218.768,11929.489,8337.492,8744.379,11409.745,11487.627,8886.913,8666.518,11507.819,6943.831,10388.181,30748.152,5481.628
g17190,4,2,8,7,7,11,6,14,6,3,0,4,14,6
g17191,4,4.029,4,4,3,8,3,7,6,5.003,4,6,11,1
g17192,3,3,3,6,6,3.045,11,3,4.646,2.139,2,3.119,9,1
g17193,0,0,0,0,0,0,0,0,0,0,0,0,0,8
g17194,3,3,6,2,4.953,1,4,3,2,4,3,3,6,1.007
g17195,4.295,10.43,2.046,10.723,0,8.654,0,12.606,8.845,0,0,2.22,28.067,2.585
g17196,334.362,367.943,382.821,345.581,269.775,353.681,389.636,254.567,266.219,410.994,253.176,350.375,1071.464,216.321
g17198,0,0,2.777,1.561,5.618,3.207,10.378,7.038,0,5.559,5.415,1.76,13.53,0
g17199,76.415,96.865,66.493,67.556,96.513,94.859,90.407,48.201,35.5,56.433,38.677,52.594,167.852,40.437
g172,368,447,642,671.981,475,675,585,630,484,604,353,624,1773,350
g1720,713.967,782.403,788.993,834.773,530.546,787.06,721.828,627.479,564.161,682.973,572.6,695.714,2246.472,448.192
