gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g0,633875.367,743614.682,788927.396,669910.573,619049.008,704051.706,780370.172,606234.971,562987.677,746101.1,532479.316,658426.853,1892016.244,461704.906
g1,1322.228,1638.365,1661.745,1335.909,1377,1463.199,1457.224,1186.987,977.489,1441.999,1091,1181.87,3788.864,857
g10,5694.887,6617.092,7616.836,5205.563,4653.265,5469.598,5889.2,4409.592,5402.315,5656.889,4468.146,4696.602,17429.123,3590.919
g100,1734.017,1858.67,2140.553,1580.721,1168.99,1763.851,2111.892,1348.121,1353.653,1979.054,1388.733,1493.317,3732.864,1061.15
g1000,1910.844,2090.51,2020.675,1810.437,1823.552,2269.062,2176.928,1713.216,1659.82,2220.113,1562.51,1701.801,6641.165,1017.719
g10000,390.493,411.62,596.115,514.196,453.297,509.865,514.454,453.698,399.293,624.609,427.005,397.816,1663.553,312.161
g10001,319.518,384.271,404.031,367.41,336.942,363.38,416.513,366.151,300.909,410.503,239.459,336.883,1012.628,249.338
g10002,9.372,10.997,9.353,8.894,5.104,13.748,10.602,8.929,10.396,12.466,9.336,14.551,24.151,13.553
g10003,3.284,4.084,6.352,5.043,3,4,7.219,4,5.295,2.348,4.214,6.022,13.173,3.096
g10004,6.055,8,15.32,9,11,11.098,17,9,4.038,11.739,6,7.042,20.793,6
g10005,10,11.005,8,11.475,12.008,8.884,3,9.033,3,4,3.9,7,23.018,8
g10006,9,12,3,4,12,7,10,8,12,4,5,11,28,3
g10007,864.013,1603.96,2089.519,1387.04,1879.094,2156.255,2088.645,1819.143,1439.304,1526.023,1251.256,1862.019,4613.262,1205.293
g10008,91.022,98.384,150.595,95.722,98.676,86.824,130.444,97.179,79.854,108.686,84.627,89.743,373.279,76.547
g10009,67,221,71,168.004,44,46,93,84,102,70,85,100,248,33
g1001,1286.698,1658,1571.451,1376.482,1139,1559.014,1770.958,1212.61,1248.002,1673.692,1092.152,1240.027,3973.544,861
g10010,5.932,9.779,11.147,12.275,8.343,9.089,9.734,13.626,8.238,8.988,3.029,12.287,27.59,3.338
g10011,12,9.973,6.794,4,4,5.251,8,6,6,2.007,4,5.003,15.446,7
g10012,221.461,383.096,270.577,62.516,190.676,94.859,394.688,63.52,132.578,58.887,123.248,106.924,376.71,137.416
g10013,0,0,12.464,0,0,8.373,0,0,6.498,0,0,3.876,12.368,0
g10014,88.083,98.164,200.415,190.85,129.344,200.255,155.82,131.576,128.393,190.562,126.136,131.98,556.992,119.139
g10015,172.001,236,300.117,265.621,140.886,256.749,281.002,219.191,211.198,283.556,190.373,229.268,783.248,181.188
g10016,65.895,77.995,103.134,45.864,51.107,52.713,60.178,60.579,45.17,98.711,37.211,37.327,148.26,44.194
g10017,32.516,26.549,25.004,26.247,31.603,29.524,28.031,18.808,41.364,24.97,25.096,36.033,95.269,26.222
g10018,75,91.636,158.445,124,102,118,102.197,93,92.819,113.104,73,110,249.343,82
g10019,57.72,63.468,61.715,56.405,51.529,44.879,74.173,60.799,60.219,53.77,35.039,51.31,155.83,39.832
g1002,770.551,895.975,984.241,786,795.999,927.785,932.331,683.977,763,992.89,624.977,791.966,2710.002,583.024
g10020,38.98,40.623,45.569,20,29.001,33.053,43.12,22,15.103,19.328,10,18,29,44
g10021,1,0,0,0,0,1,0,351.002,0,0,0,1,0,0
g10022,11.021,14.132,5,8.722,4.001,17.073,12.012,6.002,7.011,7.002,5.593,5.383,39.609,14
g10023,6,5,15,11,14,19.842,9,11,9,18.999,6,5,31.563,9
g10024,12,17,18.063,18.002,12,21.383,12.001,15,15.963,15.025,10,26,38.09,6.005
g10025,148.771,196.114,195.041,170.877,116.645,160.063,189.468,119.793,122.57,165.868,113.479,134.666,532.723,112.498
g10026,237.496,256.014,432.44,346.794,564.01,552.224,464.291,419.195,302.902,447.976,243.131,411.363,1287.178,273.203
g10027,21.063,21.599,31.678,25.673,26.719,20.088,36.803,26.064,34.176,30.86,26.007,28.149,89.684,28.961
g10028,10,27,26,33,14,13,16,34,22,17,13,4,33,13
g10029,26,30,0,28,0,27,0,0,0,0,0,25,0,24
g1003,2256.815,2681.072,3288.49,2292.592,2584.192,2801.346,2447.124,2144.374,2047.439,2776.024,1709.625,2172.479,6847.813,1640.283
g10030,6,8,12,14,10,11,1,8,8,9,11,8,38,6
g10031,19,40,0,10,0,17,0,0,0,0,0,12,0,15
g10032,11.002,15,18,29,20,19,21,20,16,36,14,21,59.094,10
g10033,35.5,16.207,61.974,62.162,30.098,55.559,62.073,18.299,19.676,22.411,16.455,36.155,88.173,16.918
g10034,44,40,0,31,1,24,0,0,0,0,0,31,0,14
g10035,9,16.982,6,0,0,5,3,1,2,2,3,0,17,2
g10036,10676.533,11420.748,13540.263,12116.819,12026.647,12048.601,14975.452,11825.58,10713.301,12517.294,8282.934,10513.16,21017.793,6752.066
g10037,72.625,326.001,275.681,293.521,114.7,281.553,228.763,222.477,159.367,456.003,222.05,232.308,745.436,123.585
g10038,8,8.041,6,6,8,7,11.999,5.994,8,15.092,5,7,25.071,2
g10039,12.002,5,3,8,7,14,14,11,7.092,8.041,2,3,9.001,1
g1004,1263.745,1526.009,1343.054,991.752,1116.789,1470.455,1215.462,1122.451,984.303,1272.175,927.913,1100.982,3431.336,656.802
g10040,103.183,107.99,108.513,107.893,52.074,121.169,83.783,63.962,77.431,89.665,53.868,91.679,275.292,74.036
g10041,65.821,58.113,36.533,37.431,23.975,38.316,53.462,35.984,38.223,52.846,38.125,29.297,75.368,26.425
g10042,83.905,134.56,138.289,44.296,57.937,55.609,113.451,53.294,64.48,56.205,40.078,76.818,165.095,57.487
g10043,38.918,26.207,21.849,16.642,23.47,22.931,23.128,22.788,6.521,19.881,10.191,20.984,67.269,11.985
g10044,6,3,5,11,12,11.742,2,5,5,21,10,20,22,8
g10045,270,292,394,337.758,227,294,325,275,263,349.999,245.072,265.999,746,213
g10046,236.934,282,325.189,255.513,256,287,289,235,259.999,329,169.12,234,763.152,163
g10047,5,6,13,8,5,7,4,9,1,10,3,5,9,6
g10048,21144.765,20683.001,21418.401,8218.94,14398.983,9624.979,34078.74,13224.619,15178.567,20454.567,16097.542,15722.617,32561.44,18446.503
g10049,9.216,18.699,22.609,18.148,23.093,19.097,41.434,2.938,15.507,8.771,24.725,16.177,59.824,7.589
g1005,1529.994,1843.034,1540.419,1421.246,1382.926,1777.892,1668.925,1521.104,1276.548,1875.464,1119.17,1306.438,4733.367,993.777
g10050,661,842,958.991,611.441,500.474,613.162,781.38,539.755,588.234,658.316,514.997,619.833,1880.703,532.99
g10051,38.857,31.367,41.257,41.509,45.454,52.117,38.236,30.465,26.648,42.02,25.718,24.449,59.26,15.439
g10052,25,21,27.001,33.768,26,45,16,36.043,24,26,18,26,101,14
g10053,10.001,14,18,19.754,22.774,22.999,21,15,20.999,13,15,18.999,40.001,9
g10054,6.006,29,1,21,0,14,0,0,0,0,0,15,0,10
g10055,11.622,13.635,25.624,18.361,12.406,15.363,22.844,11.348,11.05,18.076,11.357,9.375,35.644,9.202
g10056,65.465,192.946,140.69,91.638,74,155.619,97.576,83.9,82.882,126,72,114.244,206.958,59.468
g10057,34.06,36.775,42.142,33.482,18.842,30.889,40.555,20.192,21.673,28.669,9.823,26.97,82.228,12.503
g10058,0,0,0,0,0,2,0,0,0,290,0,0,0,0
g10059,13.06,28.847,18.883,3.222,0,5.003,34.023,1.021,17.745,8.548,7.324,14.684,13,39.694
g1006,2413.234,2701.816,3032.043,2776.24,2204.61,3178.609,2900.833,2530.674,1974.675,2589.275,1623.025,2689.841,7555.774,1502.152
g10060,5,9,8,6,6,13,6,14,5,6,11,10,21,3.035
g10061,11,16,0,16,0,10,0,0,0,0,0,9,0,12
g10062,24.019,23.483,43.729,26.993,10.017,20.347,39.892,31.236,12.343,22.025,21.889,23.88,60.179,28.569
g10063,467.005,616.988,653,588.035,523,588,665,575.07,467.706,725,439,561,1520.82,403
g10064,9.086,8.443,6.256,10.363,12.085,16.271,16.03,12.046,4.266,14.627,13.447,10.055,33.096,10.384
g10065,27.84,43.591,35.758,9.916,57.457,50.178,31,37.034,28,32.253,38.181,17.598,103.175,49.367
g10066,7.061,8,13.717,8.002,23.802,26.088,19.352,6.98,14,17.998,10.973,15.229,24,10.925
g10067,0,0,0,0,128.179,0,2,0,0,0,0,0,0,2
g10068,70.687,167.14,147.937,72.477,122.81,30.047,160.415,41.959,104.682,97.972,72.8,64.603,561.997,122.799
g10069,21,33,21,16,17,25,21.031,15,17,21,11,17.004,41,12
g1007,1338.366,1779.538,1731.257,1642.198,1219.144,1800.313,1617.343,1482.151,1394.505,1565.546,1007.718,1625.599,4751.01,1010.176
g10070,22.948,38.653,37.931,22.196,19.957,33.107,27.921,29.761,45.249,31.545,23.539,26.417,70.252,15.495
g10071,18,15,28.005,11,11,14,17,10,8,25,13,14,23,9
g10072,10,5,8,6,6,5,13,1,7,5.004,4,10,31,15
g10073,137.733,164.788,218.945,174.234,122.174,188.63,178.986,155.908,126.368,212.443,111.416,138.072,437.201,103.399
g10074,455.842,466.888,512.931,581.433,489.268,601.815,520.025,426.916,355.9,535.32,287.518,432.612,1130.621,285.766
g10075,242.758,273.105,366.729,289.682,278.574,365.84,272.466,279.749,229.629,294.882,202.022,275.264,764.3,160.785
g10076,112.044,170.037,182.537,230.053,140.945,163.001,125.982,138.574,153.093,137.209,130.488,195.898,534.177,127
g10077,35.387,40.701,30.572,14.754,16.71,19.82,35.82,34.942,13.46,30.518,17.113,19.968,86.78,23.005
g10078,19.828,38.834,31.628,44.089,46.057,31.42,44.076,22.673,38.562,34.315,44.403,33.195,121.534,28.015
g10079,19.575,11.96,35.734,35.908,21,14.863,29.723,11.603,30.919,36.515,14.818,46.451,35.175,19
g1008,640.723,881.362,880.336,735.259,563.471,909.029,693.094,776.992,637.886,965.658,494.622,747.946,2258.692,481.532
g10080,15,15,21,14,25,22,20.392,13,11,19,12,22,37,10
g10081,11,12,14.95,12,9.818,12,9.024,17.572,6.056,20,1,5.672,19.628,5
g10082,5,7,11,9,12,12.01,16,8,8,10,1,6,34,10
g10083,22.024,43.786,12.996,40.028,20.186,21.061,25.76,18.004,11.307,19.674,20.347,20.073,47.006,13.062
g10084,16,5,7,3,10,5,4.816,3,6,5,3,6,10,4
g10085,552.772,625.194,775.551,721.379,733.657,750.028,783.604,779.324,692.221,1046.637,485.493,652.375,2367.839,463.626
g10086,20,21,10.003,10,12,24.905,18,10.548,15.079,25.899,18,27.614,40.939,1
g10087,15,12.999,17,6,15.019,13.198,13.037,15,11,14.04,8,4,31.804,10
g10088,80.81,75.096,99.916,63.95,49.531,33.427,57.231,56.761,51.335,57.729,39.553,60.302,114.399,49.99
g10089,585.551,689.565,1004.337,689.514,698.122,732.889,756.376,649.539,571.225,843.583,444.6,633.959,2369.306,423.439
g1009,2258,2881.157,2860.013,1918.163,2032.497,2524,2690.129,2318.44,1821,2493.999,1764.646,2084.999,6340.509,1478
g10090,17.702,14.478,17.661,6.96,12.925,14.993,11.156,17.136,1.39,13.86,11.868,13.604,34.343,8.672
g10091,1,1,2,3,3.02,0,4,1,0,0,0,1,4.802,2
g10092,19.059,18.052,9.078,2.005,10.035,7.041,13.898,12.032,9.021,11.059,7.047,8,27.081,17
g10093,8,10.118,33.122,14,11,10,22,9.001,9,17.007,18.236,22.887,53.384,4
g10094,12240.218,13113.564,14473.727,15475.661,11950.675,12084.148,15641.784,12895.544,10683.201,15113.059,10164.792,12624.345,39162.025,8597.218
g10095,45.53,46.074,26.492,36.431,33.771,14,43,39.004,38.033,35.496,29.004,56.003,120.337,31.02
g10096,7.026,5,8.036,3,6,9.984,7,9,6.003,4,5,3,11.953,3
g10097,4,2,7,6,4,7.994,13,3,4.363,9,4,3,13.593,2
g10098,134.693,168.022,209.489,145.227,132.253,149.956,113.721,78.81,101.381,145.916,87.575,135.997,417.417,84.766
g10099,3360,4363,4677.999,3634.869,3535.191,3887.228,4357.999,3743,2872.082,4301.599,2567,2855.958,7466.485,2255
g101,4000.316,6586.588,6033.733,3875.658,3408.269,3011.231,4457.577,2979.674,3665.35,3831.052,2809.259,4742.787,14416.131,3416.454
g1010,2327.004,2723.815,2892.572,2339.638,1807.226,2219.726,2773.318,1931.563,2040.86,2442.134,1731.192,2283.283,6182.717,1467.814
g10100,40.362,57.891,55.976,56.266,27.125,40.753,39.175,47.964,40.938,42.612,26.983,53.516,176.657,22.65
g10101,0,0,0,0,0,123.113,0,0,0,0,0,0,0,0
g10102,9,6,2.243,7,6,10,5,5,6,9,6,3,4.339,2
g10103,878.992,1085.998,1076.803,802.134,852.39,869.349,1059.1,757.623,791.832,969.322,707.532,772.121,2417.216,643.971
g10104,57.326,72.818,134.313,34.82,157.71,236.907,115.331,136.032,29.485,57.899,33.912,83.43,92.561,71.3
g10105,10,15,9,9,10,4,9,3,4,7,5,2,31,2
g10106,11.818,9.056,7,10,9.011,14.002,18.252,12.364,9.001,4.977,1,4,12.96,3
g10107,9,7,8,7,9,5,6,10,10,5,12,5,14,4
g10108,71.596,59.044,71.837,39.452,49.994,70.245,58.534,54.374,33.162,78.843,35.732,62.511,186.173,44.979
g10109,331,392,387,358,322.004,381.013,428.993,367,340.02,454,292,329.031,955.204,249.036
g1011,432.261,461.225,458.742,351.964,381.96,473.323,503.726,372.744,382.709,416.387,322.021,406.36,1201.463,231.747
g10110,148,120,217,224,171,202,214,166,174,192,86,206.197,474.045,122
g10111,7.536,8.692,19.288,31.964,18.509,21.338,14.507,13.106,7.649,8.582,7.364,6.472,41.264,7.721
g10112,79.192,90.273,103.843,104.47,72.673,93.431,105.877,103.853,74.99,113.188,85.033,61.987,278.162,69.91
g10113,9,5,14,6,8,18,12,12,8,8,6,4,31.985,5
g10114,9.002,4,15,11,11,8,13,4.001,5,9,6,5,19,7.037
g10115,11,2,6,5,13,19,9,13,3,8,6,11,7.003,3
g10116,296.569,273.666,417.982,498.735,343.344,403.472,419.717,422.298,281.051,328.042,262.701,363.46,1264.691,295.455
g10117,130.488,180.644,191.905,170.468,112.631,132.317,169.733,114.151,123.83,136.549,95.999,129.706,526.578,97.879
g10118,36.039,40.5,27.49,19.6,5.902,23.103,8.274,30.066,19.72,29.611,13.313,5.566,20.648,9.208
g10119,17,4,18,10,7,5,47,27,60,13,36,3,164,14
g1012,2884.257,3842.795,4026.765,3063.978,2362.521,2991.477,3451.047,2590.199,2474.771,3134.553,2152.252,2973.253,7390.246,1943.317
g10120,21.629,40.134,72.999,56.07,27.705,33,42.03,29.647,32.365,46.666,29.488,41.013,98.086,29.67
g10121,32.988,17.08,29.796,18.033,35.35,46.001,26.973,36.179,21.842,29.013,17.013,20.399,76.923,9.112
g10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g10123,8,3.001,6,7,11,8,7,14,5,5,5,5,15,1
g10124,546.722,625.235,696.823,496.443,490.007,548.893,603.517,501.703,464.234,643.427,412.678,534.638,1494.027,355.802
g10125,46.049,47.991,39.43,37,27.011,42.728,44,33.127,17,24.887,34.718,20,85.544,18
g10126,28,22,0,10,0,19,0,0,0,0,0,15,0,6
g10127,12.04,2,6.992,7,18.024,8,15,10,5,5,5,6,14.315,3
g10128,8,12.005,3.227,15.039,6.999,13.522,6,5.002,7,7.031,7,0,21.641,1
g10129,158,198.882,355.951,268,293,247.043,327.075,266.654,212.001,321.06,168,226.93,809.536,166
g1013,1155.746,1621.163,1628.566,1119.111,924.562,1257.374,1171.472,1004.28,1093.091,1227.471,883.351,1186.638,3901.689,972.453
g10130,22.729,13.044,31.437,27.452,25.138,28.375,19.194,18.249,18.179,26.526,16.115,18.728,57.447,17.852
g10131,79.325,92.562,79.45,65.659,70.269,62.199,132.813,60.8,52.492,77.743,68.976,65.734,173.853,52.415
g10132,18.972,17,30.68,12.647,16.804,20,18.114,11,16,24.302,14.853,12.798,34.648,16.612
g10133,8,13,5,13,7,6,9,9,4,10,6.083,10,16,1
g10134,61.534,70.407,47.672,38.282,51.001,50.986,50.783,40.442,79.542,89.528,46.741,43.337,207.16,19.354
g10135,641.413,901.979,852.998,641,553.83,676.009,731.001,670,644.976,801.077,562,697.001,1918.187,500
g10136,234.459,343.227,499.833,433.824,439.748,466.076,413.59,410.531,383.259,451.82,272.052,320.802,1061.931,251.45
g10137,151.944,111.011,194.241,221.09,134.093,213.991,160,127,117.112,175,96,159,373.423,95.996
g10138,6.471,4,2,5,0,12,7,0,5,6,2,8.064,13,3.001
g10139,259.339,299.747,302.982,237.033,263.582,289.65,327.366,282.389,219.45,293.474,158.595,267.827,725.275,165.009
g1014,1112.47,1336.88,1595.422,1012.853,848.505,1163.785,1321.395,995.467,727.265,1292.976,720.627,994.1,2614.559,792.934
g10140,12,16,22,34,17,15,12,13,15,3,15,6,32,4
g10141,17.025,18.143,27.016,20.042,21.242,17.067,29.048,23.069,18.293,21.866,11.006,25.859,58.577,20.155
g10142,20,23,0,3,0,33,0,0,0,0,0,13,0,9
g10143,1784.622,3638.202,3426.711,2825.325,1553.4,1904.636,3690.557,1329.963,1900.638,1611.945,1256.298,2019.983,4760.271,1334.602
g10144,4.237,9.001,12,9,10.004,21,16.007,9,13.004,11,14,10,16,3.002
g10145,61.317,42.074,113.096,28.562,22.138,26.118,40.642,40.169,37.799,77.242,28.482,36.905,85.297,27.663
g10146,509.21,539.197,526.066,493.047,460.955,561.405,514.855,437.257,421.627,552.388,412.325,477.013,1476.037,300.788
g10147,65.147,78.246,98.164,61.671,64.743,77.61,87.667,55.036,39.222,70.62,54.226,51.949,227.611,40.299
g10148,15,30,40,48.032,28.074,31,47,35.449,30,42,21.02,23.006,94.753,25
g10149,18,17,39.721,20,24,25,24,34,28,24,30,18,42,15
g1015,679,887.003,889,700,561,820,868,672,665.031,824,481,716,2242.002,492
g10150,13.017,18.314,16.542,14.371,22.013,34.133,17,14.058,15.956,17.371,13.936,12.018,43.396,9.099
g10151,11,16,14,6,8,9,9,8,8,7,7,4,31,2
g10152,29.199,24.019,47,46.746,22,35.982,44.043,37.62,32.793,30,21.996,40.765,125.421,36
g10153,16.108,16.06,8.518,19.828,15.528,22.44,32.873,12.437,15.245,16.378,18.099,11.118,49.795,13.518
g10154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g10155,9,4,12,4,11,10,2,8,3,8,6,5,24.039,10
g10156,5,5,13,3,5,7,9.005,11,3,2,8,3,19,4
g10157,3,2,2,7,7,7,3,6,5,4,5,8,25,0
g10158,5.049,20.448,22.146,10.514,11.296,5.388,27.794,9.786,15.52,17.782,12.957,11.814,47.534,14.705
g10159,71,170,91,28,104.026,102.545,80,92.001,53,130.339,67,46,198,38
g1016,2341.888,2618.475,2755.233,2669.353,2584.104,2860.962,3038.689,2463.059,2033.713,3272.766,1854.476,2270.069,8851.295,1538.426
g10160,17,15,16,11,23,18,17,7,20,34,10,14,49,11
g10161,26.329,19.508,31.155,28.9,18.554,20.178,18.288,13.683,14.848,20.055,23.133,11.707,65.234,22.533
g10162,32.013,19.579,28.045,24.619,41.033,34.022,54.907,32.41,22.378,26.141,27.675,16.619,62.255,11.146
g10163,1385.384,1738.965,1615.213,1156.719,1291.413,2186.682,955.386,1039.549,448.857,973.162,1169.754,1255.289,4821.462,653.751
g10164,41,48.004,55.146,75,67,109,81.342,95.071,64,74,55,70.362,205.966,43.541
g10165,42.4,60.257,73.028,83.87,58,78.012,67.85,75.549,53.899,88.416,44.664,60.154,188.548,53.821
g10166,72.151,68.833,76.392,74.002,49.439,59.349,49.749,70.619,57.373,41.576,52.127,60.345,170.775,30.601
g10167,9,16,40,2,22,10,23,13,6,28,4,1,11,4
g10168,256.556,374.679,365.44,293.203,216.671,280.505,325.134,290.498,284.994,330.223,212.19,311.798,810.017,211.606
g10169,265.08,264.789,456.381,242.842,226.782,286.409,410.686,281.914,176.017,378.096,184.969,299.918,691.084,217.152
g1017,671.193,631.723,636.549,743.199,628.258,729.762,755.367,754.562,539.99,710.04,462.441,609.56,2220.88,352.213
g10170,210,228,384,253,212,284.285,265,238,214,275.948,143,242,655.891,173
g10171,54.775,59.67,79.015,56.506,43.302,50.712,44.589,58.223,40.562,25.896,36.099,41.864,158.699,25.409
g10172,32,46,60,50,57,57,65,41,51,63,55,54,222,42
g10173,5,2,4,0,6,7,4.651,5,5,4,3,6,16,3
g10174,33.763,41.182,55.213,33.913,66.936,94.53,71.001,87.767,52.103,51.216,37.926,54.65,116.502,24.682
g10175,160,246,253.948,207,203.227,214.897,236.59,194.849,206,270.988,192.124,194.015,542.877,139.603
g10176,47.453,24,44.02,39,32.001,34.452,60,22,31,31.001,24,32,81.022,26
g10177,6,7,5,7,7,7,6,5,7,5,11.017,8.001,29.054,7
g10178,10.047,6.03,16.088,11.08,9.047,13.101,7.031,8.072,6.026,10.784,12.061,15.066,27.171,9.043
g10179,642,799,951,381.999,174.692,634.787,458.332,372.142,171,221,144,527.001,587,466
g1018,549.252,619.397,830.006,949.277,544.566,839.036,726.273,635.47,671.044,681.615,472.291,826.751,1712.629,428.524
g10180,96.474,119.097,140.088,99.379,107.597,114.991,123.068,100.096,101.748,111.693,92.827,128.949,300.83,57.299
g10181,4.642,1.204,12.498,8.662,6.085,2.397,4.087,2.308,8.244,2.876,1.034,5.823,13.177,0
g10182,18.016,17.866,66.977,23.823,36.872,33.321,32.656,36.097,27.317,35.494,34.35,23.329,50.415,19.128
g10183,27,45,58,89,25,31,42,39,34,47,23,12,53,33
g10184,4,9,6,12,8,5,4,5,7,8,5,5,11,7
g10186,672.072,866.904,1109.245,1019.901,1026.331,1157.873,1056.55,1070.75,821.021,1210.165,759.439,932.515,3334.225,788.664
g10187,213.092,307.153,364.067,158.247,254.133,282.143,273.3,146.858,149.458,193.844,179.341,157.728,544.571,140.534
g10188,22.606,27.627,27.182,18.731,15.99,23.926,32.069,18.17,17.175,15.368,11,21.206,37,9.198
g10189,34,37,44,52,25,42,29.998,34,32.128,48.052,21,33,139.023,20
g1019,4215.14,5202.55,5261.542,4299.982,4290.399,4899.117,5426.529,4026.73,3732.679,5191.471,3236.386,4252.225,11623.044,2938.861
g10190,4,7,6.006,7,18,9.171,23.137,8,12,17,9.108,6,24,4
g10191,2,0,1.037,9,9,5,0,3,0,3,4,42.988,14.239,10
g10192,11,11,4,4.684,5,11,11,12,3,5.996,6,7,23.853,4
g10193,1123.301,1403.947,1865.281,1643.333,1463.306,1696.189,1601.841,1712.38,1361.154,2103.131,1067.075,1493.242,5228.982,1034.335
g10194,437.572,485.254,543.166,374.07,297.158,408.83,488.833,315.941,319.857,439.729,282.89,364.862,1009.44,281.035
g10195,404.117,494.763,589,353.997,358,331.139,448.042,414.151,335.714,338.854,292.072,368.427,1144.902,245
g10196,21.316,0,96.319,36.258,69.083,83.361,56.436,24.602,32.047,73.745,33.198,57.179,92.264,26.915
g10197,57.265,91.15,347.036,64.621,50.393,65.663,44.027,55.633,49.627,88.777,45.463,57.65,126.304,38.587
g10198,8.483,11.665,5.171,5.107,7.519,3.052,7.972,9.883,10.231,10.984,16.569,13.715,21.715,4.502
g10199,10,12,9,22,11,12,11,10,13,6,9,7,26,5
g102,3805.565,5557.109,4805.79,3746.881,3177.499,3675.846,4738.77,3719.863,4629.242,4468.884,2832.409,3964.974,12197.477,2759.759
g1020,263.001,268.314,278.482,152.004,194.148,236.335,240,158,155,173.438,140.035,167.92,522.525,110.004
g10200,9.389,13,20,11,20,17,7,10.06,10,12,7,10,35,12.673
g10201,1.427,2,10,4,3,1.999,7.106,8,8,7,2,3,13.482,0
g10202,1773.332,2066.78,1897.402,1359.13,1040.739,1139.686,1698.597,1028.643,1369.584,1328.692,1128.459,1534.878,4199.705,1030.31
g10203,95.237,124.276,110.38,130.993,65.558,91.637,89.564,72.931,109.947,96.547,101.188,139.046,315.231,82.114
g10204,30.501,19.792,24.874,22.123,25.132,36.244,55.283,20.26,11.851,18.702,16.003,23.396,43.238,11.763
g10205,94.225,120.871,162.872,140.658,135.946,140.858,120.756,145.532,114.803,144.212,109.833,131.457,464.406,77.211
g10206,1,11,4.003,6,7,8,10,5,4,5,8,8,14,2
g10207,34.327,33.197,31.231,32.187,23.624,33.722,21.027,23.027,16.677,30.693,25.08,21.372,60.352,13.029
g10208,13.595,12.247,9.281,9.053,5.031,11,11,9.001,10.92,12.154,5.935,2,24.08,5
g10209,236.539,175.903,335.954,79.286,221.941,146.514,192.028,133.988,192.048,349.135,60.534,256.123,551.346,125.108
g1021,1457.215,1310.806,1404.884,1233.165,1088.129,1244.375,1388.542,1104.886,1052.687,1329.605,1054.983,983.087,4663.304,681
g10210,18.027,7.03,15.814,12.958,20.283,26.273,23.067,14.922,10.2,19.575,12.095,6.018,36.586,7.773
g10211,155.766,186.65,124.926,106.109,87.876,162.443,124.207,93.437,97.93,86.948,93.538,104.079,358.121,58.004
g10212,13,7,22,5,10,10,6,11,15,11.006,11,12,34,12.002
g10213,1221.724,1096.705,1208.08,1196.156,1010.038,768.524,1105.707,646.962,877.063,1315.627,1417.946,1066.307,5076.277,891.542
g10214,382.011,339.27,568.794,489.513,539.76,606.229,495.657,544.617,358.338,749.033,303.159,447.556,1671.748,342.719
g10215,30.998,448.739,625.856,256.913,803.417,99.221,194.185,206.351,324.662,19.474,50.49,97.002,39.082,154.837
g10217,23.919,42.358,0,30,0,57.118,0,0,0,0,0,21.934,0,17.681
g10218,3.224,11.317,22.501,8,10,13.949,5,6.033,10.187,10.94,8,14.662,38.656,6.356
g10219,8,7,7,4,10,13,7,13,5,4,4,4,18,4.994
g1022,99.154,131.379,103.308,158.03,87.441,120.242,88.692,101,73.154,102.778,99.495,105.145,282.543,52.49
g10220,4,4,5,3,3,4.986,12,8,5,14,3,8.995,10,0
g10221,187.132,451.862,316.935,250.503,240.919,275.764,277.283,336.302,160.886,297.119,171.941,209.077,610.832,152.377
g10222,8.518,13,7,4,6,8.427,11,9,9.063,8,5.397,6.022,24,6
g10223,15.608,19.937,21.424,11.416,7.136,18.329,16.067,16.389,6.192,18.679,8.563,17.802,42.113,9.298
g10224,0,0,611.008,1,0,0,0,0,0,0,0,0,0,0
g10225,25,21,3,3,7,3,4,0,2,2,6,8,28,1
g10226,15,19,0,4,0,18,0,0,0,0,0,13,0,9
g10227,10,3,16.999,11,19,20,17,11,12,13,5,11,29.907,2
g10228,52.721,26.09,17.421,28.13,34.136,20.197,42.759,63.556,54.659,44.61,53.085,41.971,178.077,24.075
g10229,9,20,13,7,8,11,11,5,8,6,8,9,15,12
g1023,5431.057,7023.092,5277.157,4081.446,4461.652,5044.256,5989.934,4493.028,4078.5,5000.87,4081.694,4674.853,13101.214,3758.498
g10230,11,8.783,3,9,4,15.093,13.279,11,7,11,6.627,7,29.891,4
g10231,746.419,951.535,926.173,638.535,743.747,939.916,930.941,760.473,576.081,759.14,585.998,712.741,2144.38,505.797
g10232,612.899,701.537,785.475,573.365,457.773,514.372,595.101,381.84,453.704,591.415,362.011,542.041,1396.594,343.845
g10233,208.492,255.084,308.962,253.209,271.712,333.148,279.644,325.332,268.709,318.258,173.792,271.489,914.254,184.554
g10234,21.694,27.514,24.741,19.366,19.833,27.599,29.068,31.121,15.952,35.88,17.52,22.813,68.097,18.891
g10235,31.479,31.167,53.654,34,69.255,30.262,44.22,44.138,28.813,43.238,35.324,32.609,110.402,18
g10236,34.727,26.807,30.632,28.757,25.569,37.965,29.382,31.296,29.058,24.105,20.604,35.149,82.464,9.988
g10237,30.134,23.285,29.93,18.003,12.042,31.44,13.338,17.844,24.859,27.02,28.107,23.928,53.77,19.575
g10238,10.533,11.091,17.226,8.004,15.018,23.099,24.006,22.051,7.539,19.001,10.05,16.134,39.226,8.006
g10239,26,129,0,14,0,25,0,0,0,0,1,5,0,17
